Company,CARE_Date,CARE_Days,CARE_Instrument,CARE_Rating,CARE_Urgency,CRISIL_Date,CRISIL_Days,CRISIL_Instrument,CRISIL_Rating,CRISIL_Urgency,Worst_Urgency,Max_Days,Current_Rater,Why_Target,ACER_Pitch
Gaurinath Agro Products Pvt. Ltd.,2026-01-21,151.0,Term loans,B-,WARM,2025-09-25,269.0,Long term Loans,B,HOT,HOT,269.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Goyal Energy & Steel Pvt. Ltd.,2025-09-25,269.0,Letter Of credit,D,HOT,2025-12-10,193.0,Fund based financial facility/instrument,D,HOT,HOT,269.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
A G X Retail Solutions Pvt. Ltd.,2025-09-29,265.0,Bank Guarantee,A 4,HOT,2025-11-21,212.0,Bank Guarantee,A 4,HOT,HOT,265.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Baba Structural Pvt. Ltd.,2026-04-13,69.0,Bank Guarantee,A 4,LOW,2025-09-29,265.0,Bank Guarantee,A 4,HOT,HOT,265.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Baab Constructions (India) Pvt. Ltd.,2025-09-30,264.0,Bank Guarantee,A 4,HOT,2025-11-12,221.0,Bank Guarantee,A 4,HOT,HOT,264.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
G M P Weaving Mills Pvt. Ltd.,2025-09-30,264.0,Term loans,BB+,HOT,2025-10-23,241.0,Bank Guarantee,A 4,HOT,HOT,264.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
R A C Papers Ltd.,2026-04-22,60.0,Letter Of credit,A 4,LOW,2025-09-30,264.0,Long term Loans,BB+,HOT,HOT,264.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mapsko Builders Pvt. Ltd.,2025-10-03,261.0,Bank Guarantee,A 4,HOT,2026-03-09,104.0,Bank Guarantee,A 4,WARM,HOT,261.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
A-One Footarts Pvt. Ltd.,2025-10-03,261.0,Non-government debt,BBB/A3+,HOT,2025-12-19,184.0,Letter Of credit,A 4,HOT,HOT,261.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Titan-Antony Aviation India Pvt. Ltd.,2025-10-03,261.0,Bank Guarantee,A 4,HOT,2025-10-17,247.0,Term loans,B,HOT,HOT,261.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Syndicate Wiper Systems Pvt. Ltd.,2025-10-07,257.0,Fund based financial facility/instrument,B-,HOT,2025-12-05,198.0,Letter Of credit,A 4,HOT,HOT,257.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Gowra Ventures Pvt. Ltd.,2025-10-07,257.0,Fund based financial facility/instrument,B+,HOT,2025-11-12,221.0,Term loans,B,HOT,HOT,257.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jai Gears Pvt. Ltd.,2025-10-07,257.0,Non-government debt,B-/A4,HOT,2026-04-20,62.0,Fund based financial facility/instrument,B,LOW,HOT,257.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ajanta Spintex Pvt. Ltd.,2025-10-08,256.0,Term loans,B,HOT,2026-01-12,160.0,Long term Loans,D,WARM,HOT,256.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
J P L Industries Ltd.,2026-04-14,68.0,Fund based financial facility/instrument,B+,LOW,2025-10-09,255.0,Bank Guarantee,A 4+,HOT,HOT,255.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Anup Malleables Ltd.,2026-04-16,66.0,Bank Guarantee,A 4,LOW,2025-10-09,255.0,Bank Guarantee,A 4,HOT,HOT,255.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ganpati Mega Builders (India) Pvt. Ltd.,2025-10-09,255.0,Non-government debt,B/A4,ULTRA HOT,2025-10-24,240.0,Bank Guarantee,D,HOT,HOT,255.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Cell Com Teleservices Pvt. Ltd.,2025-10-10,254.0,Bank Guarantee,A 4,HOT,2026-02-25,116.0,Bank Guarantee,A 4,WARM,HOT,254.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Anvitha Life Care Pvt. Ltd.,2025-10-10,254.0,Term loans,B-,HOT,2026-04-09,73.0,Term loans,B,LOW,HOT,254.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Bell Tele Services India Pvt. Ltd.,2025-10-13,251.0,Bank Guarantee,A 4,HOT,2026-01-12,160.0,Bank Guarantee,A 4+,WARM,HOT,251.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Galaxy Life Care Services Pvt. Ltd.,2025-10-13,251.0,Term loans,B-,HOT,2026-04-10,72.0,Term loans,B,LOW,HOT,251.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sri Varadaraja Textiles Pvt. Ltd.,2025-12-29,174.0,Term loans,B-,WARM,2025-10-13,251.0,Bank Guarantee,A 4,HOT,HOT,251.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shanker Wood Pvt. Ltd.,2025-10-15,249.0,Non-fund-based financial facility/instrument,A 4,HOT,2026-03-30,83.0,Letter Of credit,A 4,LOW,HOT,249.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Ticel Biopark Ltd.,2025-10-15,249.0,Term loans,D,HOT,2025-11-20,213.0,Long term Loans,B+,HOT,HOT,249.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shree Rameshwar Lal Foods Pvt. Ltd.,2025-10-31,233.0,Fund based financial facility/instrument,B,HOT,2025-10-17,247.0,Term loans,BB,HOT,HOT,247.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sirmour Small Hydro Power Pvt. Ltd.,2025-12-15,188.0,Term loans,BB+,HOT,2025-10-17,247.0,Term loans,BB+,HOT,HOT,247.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jagat Agrotech Pvt. Ltd.,2026-02-09,132.0,Term loans,B-,WARM,2025-10-20,244.0,Long term Loans,B,HOT,HOT,244.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jindal Agro Mills Pvt. Ltd.,2025-10-23,241.0,Bank Guarantee,D,HOT,2026-03-17,96.0,Letter Of credit,D,WARM,HOT,241.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Himalayan Flour Mill Pvt. Ltd.,2026-04-21,61.0,Bank Guarantee,A 4,LOW,2025-10-23,241.0,Bank Guarantee,A 4,HOT,HOT,241.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shyamjoti Rice Mill Pvt. Ltd.,2025-10-30,234.0,Bank Guarantee,A 4,HOT,2025-12-22,181.0,Bank Guarantee,A 4,HOT,HOT,234.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Gas Projects (India) Pvt. Ltd.,2026-02-26,115.0,Bank Guarantee,A 4,WARM,2025-10-30,234.0,Bank Guarantee,A 4,HOT,HOT,234.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Vikas Cotton Inds. Pvt. Ltd.,2025-12-11,192.0,Term loans,B-,HOT,2025-10-30,234.0,Long term Loans,B,HOT,HOT,234.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shree Ginger Enterprises Ltd.,2026-02-19,122.0,Bank Guarantee,D,WARM,2025-10-30,234.0,Bank Guarantee,D,HOT,HOT,234.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Universal Seaport Pvt. Ltd.,2026-04-10,72.0,Fund based financial facility/instrument,B,LOW,2025-10-30,234.0,Long term Loans,B,HOT,HOT,234.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Khandelwal Laboratories Pvt. Ltd.,2025-10-31,233.0,Bank Guarantee,A 4,HOT,2026-02-27,114.0,Bank Guarantee,A 4,WARM,HOT,233.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rangoli Industries Pvt. Ltd.,2025-10-31,233.0,Non-government debt,B-/A4,HOT,2025-12-05,198.0,Bank Guarantee,A 4,HOT,HOT,233.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Sri Balambika Textile Mills Pvt. Ltd.,2025-11-05,228.0,Letter Of credit,A 4,HOT,2026-03-20,93.0,Term loans,B,WARM,HOT,228.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Gee Emm Spinfab Pvt. Ltd.,2025-11-05,228.0,Term loans,B+,HOT,2026-01-21,151.0,Fund based financial facility/instrument,B+,WARM,HOT,228.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Rama Krishna Spintex Pvt. Ltd.,2025-11-05,228.0,Bank Guarantee,D,HOT,2026-01-21,151.0,Bank Guarantee,D,WARM,HOT,228.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shri Vaari Electricals Pvt. Ltd.,2025-11-10,223.0,Letter Of credit,A 4,HOT,2026-01-12,160.0,Bank Guarantee,A 4+,WARM,HOT,223.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Envirad Projects Pvt. Ltd.,2026-04-23,59.0,Non-government debt,B+/A4,LOW,2025-11-10,223.0,Bank Guarantee,A 4+,HOT,HOT,223.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Plasto Eltronics Pvt. Ltd.,2026-02-17,124.0,Bank Guarantee,A 4,WARM,2025-11-10,223.0,Bank Guarantee,A 4,HOT,HOT,223.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Padma Laxmi Sree Rice Mill Pvt. Ltd.,2025-11-20,213.0,Bank Guarantee,A 4,HOT,2025-11-12,221.0,Long term Loans,B,HOT,HOT,221.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Good Greens India Pvt. Ltd.,2026-03-23,90.0,Term loans,BB-,WARM,2025-11-12,221.0,Letter Of credit,A 4,HOT,HOT,221.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Global Technocrats Ltd.,2025-11-17,216.0,Fund based financial facility/instrument,B-,HOT,2025-12-10,193.0,Long term Loans,B+,HOT,HOT,216.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Bhandari Agrofeeds Pvt. Ltd.,2026-02-02,139.0,Bank Guarantee,B-,WARM,2025-11-18,215.0,Bank Guarantee,A 4,HOT,HOT,215.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
S S S Rice Mill Pvt. Ltd.,2025-11-18,215.0,Bank Guarantee,D,HOT,2025-12-18,185.0,Bank Guarantee,D,HOT,HOT,215.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Adachi Natural Polymer Ltd.,2025-12-01,202.0,Non-fund-based financial facility/instrument,A 4,HOT,2025-11-19,214.0,Long term Loans,B,HOT,HOT,214.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Guru Laxmi Cottex Pvt. Ltd.,2026-04-29,53.0,Bank Guarantee,A 4,LOW,2025-11-19,214.0,Bank Guarantee,A 4,HOT,HOT,214.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
I C E D Desserts & Food Parlours (India) Pvt. Ltd.,2026-04-23,59.0,Term loans,C,LOW,2025-11-20,213.0,Term loans,B,HOT,HOT,213.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Utopian Sugars Ltd.,2026-02-06,135.0,Term loans,D,WARM,2025-11-25,208.0,Term loans,D,HOT,HOT,208.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Navkar Urbanstructure Ltd.,2025-12-24,179.0,Bank Guarantee,A 4,WARM,2025-11-27,206.0,Bank Guarantee,A 4,HOT,HOT,206.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Melstar Information Technologies Ltd.,2026-01-22,150.0,Bank Guarantee,D,WARM,2025-11-27,206.0,Long term Loans,D,HOT,HOT,206.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
M R L Tyres Ltd.,2026-02-12,129.0,Non-government debt,BBB/A3+,HOT,2025-12-02,201.0,Letter Of credit,A 4+,HOT,HOT,201.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Aditya Timpack Pvt. Ltd.,2025-12-02,201.0,Bank Guarantee,A 4,HOT,2026-03-12,101.0,Term loans,B,WARM,HOT,201.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
S B W Udyog Ltd.,2026-04-09,73.0,Bank Guarantee,A 4,LOW,2025-12-05,198.0,Bank Guarantee,A 4,HOT,HOT,198.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
P S V Precast Pvt. Ltd.,2026-04-23,59.0,Term loans,B-,LOW,2025-12-08,195.0,Long term Loans,B,HOT,HOT,195.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Versabyte Data Systems Pvt. Ltd.,2026-03-04,109.0,Bank Guarantee,A 4,WARM,2025-12-08,195.0,Bank Guarantee,A 4,HOT,HOT,195.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Joyguru Cold Storage Pvt. Ltd.,2026-04-15,67.0,Bank Guarantee,A 4,LOW,2025-12-10,193.0,Bank Guarantee,A 4,HOT,HOT,193.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Lemon Electronics Ltd.,2026-04-20,62.0,Letter Of credit,D,LOW,2025-12-10,193.0,Letter Of credit,D,HOT,HOT,193.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Chakkra Coal India Pvt. Ltd.,2025-12-11,192.0,Letter Of credit,A 4,HOT,2026-02-26,115.0,Letter Of credit,A 4+,HOT,HOT,192.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Prestar Infrastructure Projects Ltd.,2025-12-12,191.0,Bank Guarantee,D,HOT,2026-01-27,145.0,Letter Of credit,D,WARM,HOT,191.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Swastik Coal Corpn. Pvt. Ltd.,2026-02-18,123.0,Letter Of credit,D,WARM,2025-12-18,185.0,Letter Of credit,D,HOT,HOT,185.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mangalam Rice Mill Pvt. Ltd.,2025-12-22,181.0,Bank Guarantee,A 4,HOT,2026-01-30,142.0,Bank Guarantee,A 4,WARM,HOT,181.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Primatel Fibcom Ltd.,2026-04-10,72.0,Bank Guarantee,A 4,LOW,2025-12-22,181.0,Bank Guarantee,A 4,HOT,HOT,181.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Effulgence Trading & Services Pvt. Ltd.,2026-01-28,144.0,Letter Of credit,D,WARM,2025-12-23,180.0,Letter Of credit,D,HOT,HOT,180.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Vinayak Oil & Fats Pvt. Ltd.,2025-12-24,179.0,Letter Of credit,A 4,WARM,2026-04-09,73.0,Letter Of credit,A 4+,HOT,WARM,179.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Supreme Road Transport Pvt. Ltd.,2025-12-26,177.0,Bank Guarantee,A 4,WARM,2026-02-27,114.0,Bank Guarantee,A 4,WARM,WARM,177.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Henraajh Feeds India Pvt. Ltd.,2025-12-31,172.0,Term loans,D,WARM,2026-01-27,145.0,Fund based financial facility/instrument,D,WARM,WARM,172.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Jaatvedas Construction Co. Pvt. Ltd.,2026-01-08,164.0,Fund based financial facility/instrument,D,WARM,2026-01-30,142.0,Bank Guarantee,D,WARM,WARM,164.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
New Modern Technomech Pvt. Ltd.,2026-04-21,61.0,Letter Of credit,A 4,LOW,2026-01-08,164.0,Bank Guarantee,A 4+,HOT,WARM,164.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Uttarakhand Engineering Products Pvt. Ltd.,2026-01-12,160.0,Non-government debt,B+/A4,WARM,2026-03-31,82.0,Letter Of credit,A 4,LOW,WARM,160.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Shri Laxmi Polycoat Pvt. Ltd.,2026-01-12,160.0,Term loans,D,WARM,2026-02-26,115.0,Long term Loans,B-,WARM,WARM,160.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Amarpali Cylinders Pvt. Ltd.,2026-01-12,160.0,Bank Guarantee,A 4,WARM,2026-02-20,121.0,Bank Guarantee,A 4,WARM,WARM,160.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Budge Budge Co. Ltd.,2026-01-28,144.0,Term loans,B-,WARM,2026-01-21,151.0,Bank Guarantee,A 4,WARM,WARM,151.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Haryana Conductors Pvt. Ltd.,2026-01-23,149.0,Letter Of credit,A 4,WARM,2026-02-23,118.0,Bank Guarantee,A 4,WARM,WARM,149.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Himalayan Road Construction Pvt. Ltd.,2026-02-04,137.0,Bank Guarantee,A 4,WARM,2026-01-27,145.0,Bank Guarantee,A 4,WARM,WARM,145.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Agarwal Toughened Glass India Ltd.,2026-01-29,143.0,Term loans,B-,WARM,2026-04-28,54.0,Fund based financial facility/instrument,B,LOW,WARM,143.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Khedut Solvexp Pvt. Ltd.,2026-02-03,138.0,Non-government debt,B+/A4,WARM,2026-02-10,131.0,Term loans,BB+,ULTRA HOT,WARM,138.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kalpataruvu Spinning Mills Pvt. Ltd.,2026-02-05,136.0,Fund based financial facility/instrument,D,WARM,2026-02-23,118.0,Long term Loans,D,WARM,WARM,136.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Harbir Automobile Pvt. Ltd.,2026-04-20,62.0,Term loans,B+,LOW,2026-02-09,132.0,Fund based financial facility/instrument,BB+,WARM,WARM,132.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Skipperseil Ltd.,2026-02-23,118.0,Non-government debt,BB-/A4,WARM,2026-02-10,131.0,Bank Guarantee,A 4+,WARM,WARM,131.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Zulaikha Motors Pvt. Ltd.,2026-02-12,129.0,Bank Guarantee,D,WARM,2026-02-28,113.0,Bank Guarantee,D,WARM,WARM,129.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kimiya Engineers Pvt. Ltd.,2026-02-18,123.0,Non-government debt,D,WARM,2026-04-23,59.0,Bank Guarantee,D,LOW,WARM,123.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Senbo Engineering Ltd.,2026-04-10,72.0,Bank Guarantee,D,LOW,2026-02-25,116.0,Bank Guarantee,D,WARM,WARM,116.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Kiri Oilfield Services Pvt. Ltd.,2026-02-26,115.0,Bank Guarantee,A 4+,WARM,2026-04-15,67.0,Bank Guarantee,A 4,HOT,WARM,115.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
Mak Hospitals Pvt. Ltd.,2026-03-05,108.0,Term loans,B-,WARM,2026-02-26,115.0,Long term Loans,B,WARM,WARM,115.0,CARE + CRISIL,"INC at BOTH CARE and CRISIL — doubly abandoned, no credible rater",Both your current raters have flagged non-cooperation. ACER offers a clean slate with fast turnaround.
