Company Name (Infomerics),Company Name (d365),Sector,Match Score,Match Quality,Infomerics Rating,Infomerics Last Date,Infomerics Instrument,d365 Agency,d365 Rating,d365 Last Date,Urgency,Why Target,ACER Pitch
Siva Foods Impex Private Limited,Siva Foods Impex Pvt. Ltd.,Agro/Food,82.75862068965517,MEDIUM,IVR D (INC)(Downgraded),2026-01-12,Long Term Bank Facilities,"ACUITE, CRISIL",B+,2025-04-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sivaguru Spinning Mills Private Limited,Sivaguru Spinning Mills Pvt. Ltd.,Textiles,86.11111111111111,MEDIUM,IVR B (INC)(Downgraded),2025-02-12,Long Term Facilities,IND-RA,B+/A4,2026-12-01,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sivanssh Infrastructure Development Private Limited,Sivanssh Infrastructure Devp. Pvt. Ltd.,Infrastructure,80.0,MEDIUM,IVR B+ (INC)(Downgraded),2025-10-30,Long Term Bank Facilities,BRICKWORK,A 4,2025-11-06,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sparsh Hospitals & Critical Care Private Limited,Sparsh Hospitals & Critical Care Pvt. Ltd.,Healthcare,88.88888888888889,MEDIUM,IVR B (INC)(Downgraded),2025-07-03,Long Term Bank Facilities,ACUITE,BB+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Spinora Tiles Private Limited,Spinora Tiles Pvt. Ltd.,Other/Unknown,80.76923076923077,MEDIUM,IVR C (INC)(Downgraded),2025-05-09,Long Term Bank Facilities,"CARE, CRISIL",A 4,2025-08-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sri Anagha Refineries Private Limited,Sri Anagha Refineries Pvt. Ltd.,Other/Unknown,85.29411764705883,MEDIUM,IVR BB+ (INC)(Reaffirmed and Withdrawn),2021-12-20,Long Term Bank Facilities,CARE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sri Avantika Contractors (I) Limited,Sri Avantika Contractors (I) Ltd.,Other/Unknown,92.7536231884058,HIGH,IVR BBB- (INC)(Reaffirmed),2025-10-31,Long Term Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sri Shyam Fashion India Private Limited,Sri Shyam Fashion India Pvt. Ltd.,Other/Unknown,86.11111111111111,MEDIUM,IVR B+ (INC)(Downgraded),2025-10-17,Long Term Bank Facilities,"ACUITE, BRICKWORK",A 4+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sri Vasudeva Textiles Private Limited,Sri Vasudeva Textiles Pvt. Ltd.,Textiles,85.29411764705883,MEDIUM,IVR BB- (INC)(Downgraded),2024-12-18,Long Term Bank Facilities - Term Loan,"BRICKWORK, IND-RA",B/A4,2026-06-03,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sri Venkatesh Granites Private Limited,Sri Venkatesh Granites Pvt. Ltd.,Other/Unknown,85.71428571428572,MEDIUM,IVR BB+ (INC)(Downgraded),2025-09-05,Long Term Bank Facilities,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Srinivas Infrastructure Private Limited,Srinivas Infrastructure Pvt. Ltd.,Infrastructure,86.11111111111111,MEDIUM,IVR B (INC)(Downgraded),2026-01-16,Long Term Fund based facilities â€“ Cash Credit,IND-RA,B/A4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Stark Ridge Paper Private Limited,Stark Ridge Paper Pvt. Ltd.,Other/Unknown,83.33333333333334,MEDIUM,IVR B (INC)(Downgraded),2025-06-25,Long Term Bank Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Supermax Personal Care Private Limited,Supermax Personal Care Pvt. Ltd.,Other/Unknown,85.71428571428572,MEDIUM,IVR D (INC)(Downgraded),2025-01-29,Long Term Facilities,BRICKWORK,D,2025-08-05,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Sustainable Agro-Commercial Finance Limited,Sustainable Agro-Commercial Finance Ltd.,BFSI,93.97590361445783,HIGH,IVR D (INC)(Reaffirmed),2025-10-09,Long Term Bank Facilities,CARE,D,2025-06-08,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Swastik Pipe Limited,Swastik Pipe Ltd.,Steel & Metals,86.48648648648648,MEDIUM,IVR D (INC)(Downgraded),2026-01-20,Long Term Bank Facilities â€“ Term Loan,IND-RA,B+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Swiss Garnier Genexiaa Sciences Private Limited,Swiss Garnier Genexiaa Sciences Pvt. Ltd.,Other/Unknown,88.63636363636364,MEDIUM,IVR C- (INC)(Downgraded),2025-09-19,Long Term Fund Based Bank Facilities - Term Loan,CARE,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
T. K. Engineering Consortium Private Limited,T K Engineering Consortium Pvt. Ltd.,Other/Unknown,85.0,MEDIUM,IVR D (INC) (Reaffirmed),2026-01-19,Long Term Bank Facilities,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Tirupati Conductors Private Limited,Tirupati Conductors Pvt. Ltd.,Other/Unknown,84.375,MEDIUM,IVR B- (INC)(Downgraded),2026-01-15,Long Term Bank Facilities,BRICKWORK,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Ultracab (India) Limited,Ultracab (India) Ltd.,Other/Unknown,88.88888888888889,MEDIUM,IVR BB+ (INC)(Downgraded),2025-12-08,Long Term Bank Facilities,CRISIL,A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Unistar Oils Private Limited,Unistar Oils Pvt. Ltd.,Other/Unknown,80.0,MEDIUM,IVR D (INC)(Reaffirrmed),2026-01-08,Long Term Bank Facilities,BRICKWORK,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
United Ciigma Institute of Medical Sciences Private Limited,United Ciigma Institute Of Medical Sciences Pvt. Ltd.,Healthcare,85.71428571428572,MEDIUM,IVR BB- (INC)(Downgraded),2025-02-21,Long Term Facilities,BRICKWORK,BB-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Universal Infra & Agri Oils Private Limited,Universal Infra & Agri Oils Pvt. Ltd.,Infrastructure,87.5,MEDIUM,IVR B+ (INC)(Downgraded),2025-11-10,Long Term Bank Facilities,CARE,B+,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Utkal Healthcare Private Limited,Utkal Healthcare Pvt. Ltd.,Healthcare,82.75862068965517,MEDIUM,IVR BB (INC)(Downgraded),2025-09-19,Long Term Bank Facilities,"CRISIL, IND-RA",BBB,2025-08-10,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Uttranchal Ispat Private Limited,Uttranchal Ispat Pvt. Ltd.,Other/Unknown,82.75862068965517,MEDIUM,IVR B (INC)(Downgraded),2025-09-23,Long Term Bank Facility,CRISIL,B,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Value Added Fashion Fabrics Private Limited,Value Added Fashion Fabrics Pvt. Ltd.,Textiles,87.5,MEDIUM,IVR BB- (INC)(Downgraded),2026-02-03,Long Term Facilities,BRICKWORK,B+,2025-04-07,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Vikrma Impex Private Limited,Vikrma Impex Pvt. Ltd.,Other/Unknown,80.0,MEDIUM,IVR BB- (INC)(Downgraded),2025-07-15,Long Term Bank Facilities,"ACUITE, CRISIL",A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Vimla Fuels & Metals Limited,Vimla Fuels & Metals Ltd.,Steel & Metals,90.56603773584906,HIGH,IVR D (INC),2026-02-10,Long Term Bank Facilities,ACUITE,D,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Vinayak Support Services Private Limited,Vinayak Support Services Pvt. Ltd.,Infrastructure,86.48648648648648,MEDIUM,IVR B+ (INC)(Downgraded),2026-01-07,Long Term Bank Facility,ACUITE,BB,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Vishal Papertech India Limited,Vishal Papertech (India) Ltd.,Other/Unknown,88.13559322033898,MEDIUM,IVR C (INC)(Downgraded),2025-10-03,Long Term Bank Facilities,"BRICKWORK, CRISIL",A 4,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Wadhwa Construction & Infrastructure Private Limited (WCIPL),Wadhwa Construction & Infrastructure Pvt. Ltd.,Infrastructure,83.01886792452831,MEDIUM,IVR BB+ (INC)(Downgraded),2025-05-21,Long Term Fund Based Bank Facilities,BRICKWORK,BB-,,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Wave Beverages Private Limited,Wave Beverages Pvt. Ltd.,Agro/Food,81.4814814814815,MEDIUM,IVR BB- (INC)(Downgraded),2026-02-09,Long Term Bank Facilities,"ICRA, IND-RA",B+,2025-06-11,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
Youngman Woollen Mills Private Limited,Youngman Woollen Mills Pvt. Ltd.,Other/Unknown,85.71428571428572,MEDIUM,IVR BB (INC) (Downgraded),2025-11-10,Long Term Bank Facilities,"BRICKWORK, CRISIL",B,2025-10-07,ULTRA HIGH,"INC at BOTH Infomerics AND another agency — maximally dissatisfied, actively needs new rater","This company has stopped cooperating with multiple raters. ACER offers a clean slate — faster turnaround, dedicated analyst, no baggage from prior agency relationship."
