Company Name,Agency,Instrument Type,Rating,Rating Date,Days Since (Jun 25),Current Urgency,Urgency at Oct 1,Urgency at Nov 1,Amount Cr,Sector,Why Target
Premier Plasmotec Pvt. Ltd.,BRICKWORK,Term Loan,C,09-Apr-2026,77,LOW,LOW,MEDIUM,2.16,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Premier Polyfilm Ltd.,ICRA,Letter of Credit,A 2,30-Apr-2026,56,LOW,LOW,MEDIUM,14.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Premier Polyfilm Ltd.,ICRA,Letter of Credit,A 2,30-Apr-2026,56,LOW,LOW,MEDIUM,,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Premier Polyfilm Ltd.,ICRA,NCD/Bond,BBB+/A2,30-Apr-2026,56,LOW,LOW,MEDIUM,25.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Premier Polyfilm Ltd.,ICRA,NCD/Bond,BBB+/A2,30-Apr-2026,56,LOW,LOW,MEDIUM,6.04,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Premier Polyfilm Ltd.,ICRA,Term Loan,BBB+,30-Apr-2026,56,LOW,LOW,MEDIUM,13.21,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Price & Buckland (India) Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,6.3,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Primatel Fibcom Ltd.,CARE,Bank Guarantee,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,17.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Prime Mover Auto Associates Pvt. Ltd.,ACUITE,Bank Guarantee,D,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,6.3,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Prime Mover Auto Associates Pvt. Ltd.,ACUITE,Term Loan,C,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,1.01,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Prime Retail India Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,31.75,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Primitus Industries Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,25.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Profive Engineering Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,8.57,Manufacturing,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Punjab Metal Works Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,5.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Puri Construction Pvt. Ltd.,ICRA,Bank Guarantee,A 4+,10-Apr-2026,76,LOW,LOW,MEDIUM,125.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Pushpit Steels Pvt. Ltd.,ACUITE,Term Loan,A-,17-Apr-2026,69,LOW,LOW,MEDIUM,2.5,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Pushpit Steels Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,17-Apr-2026,69,LOW,LOW,MEDIUM,225.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Pushpit Steels Pvt. Ltd.,ACUITE,Letter of Credit,A 2+,17-Apr-2026,69,LOW,LOW,MEDIUM,25.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Pushpit Steels Pvt. Ltd.,ACUITE,Term Loan,BB+,17-Apr-2026,69,LOW,LOW,MEDIUM,464.13,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Q-Line Biotech Ltd.,CRISIL,Bank Guarantee,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,16.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Q-Line Biotech Ltd.,CRISIL,Letter of Credit,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,6.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Q-Line Biotech Ltd.,CRISIL,Term Loan,B,09-Apr-2026,77,LOW,LOW,MEDIUM,63.5,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Quadragen Vethealth Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,1.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Quadragen Vethealth Pvt. Ltd.,CRISIL,Letter of Credit,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,6.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Quadragen Vethealth Pvt. Ltd.,CRISIL,Term Loan,B,28-Apr-2026,58,LOW,LOW,MEDIUM,1.5,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Quarterfold Printabilities Pvt. Ltd.,ACUITE,Fund-Based,BB+,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,10.0,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Quarterfold Printabilities Pvt. Ltd.,ACUITE,Term Loan,BB+,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,5.5,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R A C Papers Ltd.,BRICKWORK,Term Loan,C,10-Apr-2026,76,LOW,LOW,MEDIUM,7.0,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R A C Papers Ltd.,CARE,Letter of Credit,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,0.33,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R A C Papers Ltd.,CARE,Term Loan,C,22-Apr-2026,64,LOW,LOW,MEDIUM,2.3,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R A Kraft Paper Pvt. Ltd.,CRISIL,Letter of Credit,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,5.0,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R A Shaikh Paper Mills Pvt. Ltd.,CARE,Bank Guarantee,A 4,08-Apr-2026,78,LOW,LOW,MEDIUM,0.8,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R D Samant Contractors Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Apr-2026,56,LOW,LOW,MEDIUM,7.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R D Samant Contractors Pvt. Ltd.,CRISIL,Term Loan,B,30-Apr-2026,56,LOW,LOW,MEDIUM,3.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R E Rogers India Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,30-Apr-2026,56,LOW,LOW,MEDIUM,12.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R E Rogers India Pvt. Ltd.,CRISIL,Term Loan,B,30-Apr-2026,56,LOW,LOW,MEDIUM,0.95,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R G Spinning Mills Pvt. Ltd.,CARE,Term Loan,BB-,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,14.15,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R K City Developers Pvt. Ltd.,ICRA,Term Loan,D,15-Apr-2026,71,LOW,LOW,MEDIUM,2.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R K G International Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,8.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R K Natural Fibre Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,6.8,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R K R Gold Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,90.0,Jewellery/Gems,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R L J Polyfab Ltd.,ICRA,Non-Fund-Based,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,1.25,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R L J Polyfab Ltd.,ICRA,Term Loan,B+,28-Apr-2026,58,LOW,LOW,MEDIUM,4.54,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R M Drip & Sprinklers Systems Ltd.,BRICKWORK,Bank Guarantee,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,0.5,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R M Drip & Sprinklers Systems Ltd.,BRICKWORK,Letter of Credit,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,1.0,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R M Drip & Sprinklers Systems Ltd.,BRICKWORK,Term Loan,B-,10-Apr-2026,76,LOW,LOW,MEDIUM,5.8,Paper/Packaging,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R M P Fab Sourcing Pvt. Ltd.,CRISIL,Term Loan,B,28-Apr-2026,58,LOW,LOW,MEDIUM,5.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R P A Unibakes Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,29-Apr-2026,57,LOW,LOW,MEDIUM,13.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R P A Unibakes Pvt. Ltd.,ICRA,NCD/Bond,BB+/A4+,29-Apr-2026,57,LOW,LOW,MEDIUM,0.24,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R P A Unibakes Pvt. Ltd.,ICRA,Term Loan,BB+,29-Apr-2026,57,LOW,LOW,MEDIUM,67.76,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R R & Company Pvt. Ltd.,CARE,Term Loan,B-,09-Apr-2026,77,LOW,LOW,MEDIUM,0.85,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R S A L Steel Pvt. Ltd.,ICRA,Non-Fund-Based,D,29-Apr-2026,57,LOW,LOW,MEDIUM,206.55,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R S A L Steel Pvt. Ltd.,ICRA,Term Loan,D,29-Apr-2026,57,LOW,LOW,MEDIUM,35.59,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R S H Agro Products Ltd.,ACUITE,Letter of Credit,D,08-Apr-2026,78,LOW,LOW,MEDIUM,0.3,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R S H Agro Products Ltd.,ACUITE,Term Loan,D,08-Apr-2026,78,LOW,LOW,MEDIUM,2.0,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R S R Infra Works (India) Pvt. Ltd.,CARE,Bank Guarantee,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,75.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
R S V Constructions Pvt. Ltd.,CARE,Bank Guarantee,A 4,06-Apr-2026,80,LOW,LOW,MEDIUM,54.5,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Radha Industries Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,1.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Radius Sumer Developers Pvt. Ltd.,BRICKWORK,Term Loan,D,01-Apr-2026,85,LOW,MEDIUM,MEDIUM,600.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Radius Water Ltd.,ICRA,NCD/Bond,D,27-Apr-2026,59,LOW,LOW,MEDIUM,6.06,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Radius Water Ltd.,ICRA,Term Loan,D,27-Apr-2026,59,LOW,LOW,MEDIUM,19.94,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Raghuveer Metal Inds. Ltd.,IND-RA,NCD/Bond,C/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,13.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Raichur Bio-Energies Pvt. Ltd.,IND-RA,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,32.2,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajaramsevak Multipurpose Cold Storage Pvt. Ltd.,IND-RA,NCD/Bond,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,14.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajasthan Powergen Transformer Pvt. Ltd.,CARE,Bank Guarantee,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,3.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajasthan Powergen Transformer Pvt. Ltd.,CARE,Letter of Credit,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,1.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajasthan Powergen Transformer Pvt. Ltd.,CARE,Term Loan,B-,14-Apr-2026,72,LOW,LOW,MEDIUM,2.68,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajinder Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,13-Apr-2026,73,LOW,LOW,MEDIUM,30.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajuri Steels & T M T Bars Pvt. Ltd.,ACUITE,Bank Guarantee,A 4+,10-Apr-2026,76,LOW,LOW,MEDIUM,45.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajuri Steels & T M T Bars Pvt. Ltd.,ACUITE,Term Loan,BB+,10-Apr-2026,76,LOW,LOW,MEDIUM,0.1,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajuri Steels & T M T Bars Pvt. Ltd.,ACUITE,Term Loan,BB,10-Apr-2026,76,LOW,LOW,MEDIUM,38.34,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rajuri Steels & T M T Bars Pvt. Ltd.,ACUITE,Term Loan,BB+,10-Apr-2026,76,LOW,LOW,MEDIUM,12.56,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ram'S Assorted Cold Storage Ltd.,CRISIL,Term Loan,D,10-Apr-2026,76,LOW,LOW,MEDIUM,9.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ramiya Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 3,13-Apr-2026,73,LOW,LOW,MEDIUM,63.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ramiya Constructions Pvt. Ltd.,CRISIL,Term Loan,BBB-,13-Apr-2026,73,LOW,LOW,MEDIUM,14.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ramji Acro Ltd.,CRISIL,Term Loan,B,28-Apr-2026,58,LOW,LOW,MEDIUM,1.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ramji Acro Ltd.,CRISIL,Term Loan,B,28-Apr-2026,58,LOW,LOW,MEDIUM,9.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rangotsav Lifestyle Pvt. Ltd.,IND-RA,Term Loan,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,21.5,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rasha Ind. Pvt Ltd,ACUITE,Term Loan,BB+,17-Apr-2026,69,LOW,LOW,MEDIUM,0.63,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rasha Ind. Pvt Ltd,ACUITE,Term Loan,BB+,17-Apr-2026,69,LOW,LOW,MEDIUM,38.47,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ratan Aluminum Recycling Pvt. Ltd.,CRISIL,Fund-Based,B,17-Apr-2026,69,LOW,LOW,MEDIUM,13.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ratan Aluminum Recycling Pvt. Ltd.,CRISIL,Term Loan,B,17-Apr-2026,69,LOW,LOW,MEDIUM,2.83,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ratan Aluminum Recycling Pvt. Ltd.,CRISIL,Term Loan,B,17-Apr-2026,69,LOW,LOW,MEDIUM,0.93,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rathi Bars Ltd.,CARE,Term Loan,B-,14-Apr-2026,72,LOW,LOW,MEDIUM,7.51,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ratnadeep Metal & Tubes Ltd.,IND-RA,NCD/Bond,BB-/A4+,28-Apr-2026,58,LOW,LOW,MEDIUM,63.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ravina Health Care Pvt. Ltd.,CRISIL,Term Loan,D,28-Apr-2026,58,LOW,LOW,MEDIUM,6.5,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ravina Health Care Pvt. Ltd.,CRISIL,Term Loan,D,28-Apr-2026,58,LOW,LOW,MEDIUM,16.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ravindra Heraeus Pvt. Ltd.,CARE,Bank Guarantee,A 4,08-Apr-2026,78,LOW,LOW,MEDIUM,150.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rawalwasia Textile Inds. Pvt. Ltd.,CARE,NCD/Bond,B-/A4,08-Apr-2026,78,LOW,LOW,MEDIUM,13.0,Textiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rawmet Resources Pvt. Ltd.,CARE,Letter of Credit,A 4,27-Apr-2026,59,LOW,LOW,MEDIUM,79.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rawmet Resources Pvt. Ltd.,CARE,NCD/Bond,BB-/A4,27-Apr-2026,59,LOW,LOW,MEDIUM,7.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Raymix Concrete India Pvt. Ltd.,CARE,Term Loan,D,09-Apr-2026,77,LOW,LOW,MEDIUM,4.98,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Reeshav Automobiles Pvt. Ltd.,CRISIL,Fund-Based,B,28-Apr-2026,58,LOW,LOW,MEDIUM,3.75,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Reeshav Automobiles Pvt. Ltd.,CRISIL,Term Loan,B,28-Apr-2026,58,LOW,LOW,MEDIUM,11.1,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Regent Granito India Ltd.,ICRA,Non-Fund-Based,D,24-Apr-2026,62,LOW,LOW,MEDIUM,15.03,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Regent Granito India Ltd.,ICRA,Term Loan,D,24-Apr-2026,62,LOW,LOW,MEDIUM,5.33,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Regrow Biosciences Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,5.2,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Relemac Technologies Pvt. Ltd.,CARE,Bank Guarantee,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,2.5,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Relemac Technologies Pvt. Ltd.,CARE,Letter of Credit,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,2.5,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Relemac Technologies Pvt. Ltd.,CARE,NCD/Bond,A 4,10-Apr-2026,76,LOW,LOW,MEDIUM,8.5,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Relemac Technologies Pvt. Ltd.,CARE,Term Loan,B-,10-Apr-2026,76,LOW,LOW,MEDIUM,0.06,IT/Technology,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Reliable Hitech Infrastructure Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-Apr-2026,58,LOW,LOW,MEDIUM,13.0,Construction,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Renaatus Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,23-Apr-2026,63,LOW,LOW,MEDIUM,217.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Renaatus Projects Pvt. Ltd.,CRISIL,Letter of Credit,A 4,23-Apr-2026,63,LOW,LOW,MEDIUM,20.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Richfield Fertilisers Ltd.,CRISIL,Letter of Credit,A 4,30-Apr-2026,56,LOW,LOW,MEDIUM,2.75,Agro/Food,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Right Tight Fastners Pvt. Ltd.,CRISIL,Letter of Credit,A 4,29-Apr-2026,57,LOW,LOW,MEDIUM,6.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Right Tight Fastners Pvt. Ltd.,CRISIL,Term Loan,B,29-Apr-2026,57,LOW,LOW,MEDIUM,406.52,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Right Tight Fastners Pvt. Ltd.,CRISIL,Term Loan,B,29-Apr-2026,57,LOW,LOW,MEDIUM,22.98,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rikhabchand Sohanlall Ltd.,CRISIL,Letter of Credit,A 4,29-Apr-2026,57,LOW,LOW,MEDIUM,5.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rishabh Metals & Chemicals Pvt. Ltd.,ACUITE,Letter of Credit,A 4+,29-Apr-2026,57,LOW,LOW,MEDIUM,7.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rishabh Metals & Chemicals Pvt. Ltd.,ACUITE,Term Loan,BB,29-Apr-2026,57,LOW,LOW,MEDIUM,9.0,Steel & Metals,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rishi Auto Sales Pvt. Ltd.,BRICKWORK,Fund-Based,C,10-Apr-2026,76,LOW,LOW,MEDIUM,12.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rockdrill Projects Pvt. Ltd.,CARE,Bank Guarantee,A 4,22-Apr-2026,64,LOW,LOW,MEDIUM,32.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rohan Dyes & Intermediates Ltd.,BRICKWORK,Bank Guarantee,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rohan Dyes & Intermediates Ltd.,BRICKWORK,Letter of Credit,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,4.0,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rohan Dyes & Intermediates Ltd.,BRICKWORK,Non-Fund-Based,A 4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,0.25,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rohan Dyes & Intermediates Ltd.,ACUITE,Letter of Credit,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,4.0,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rohan Dyes & Intermediates Ltd.,ACUITE,Term Loan,A 4,24-Apr-2026,62,LOW,LOW,MEDIUM,0.25,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rohan Dyes & Intermediates Ltd.,ACUITE,Term Loan,C,24-Apr-2026,62,LOW,LOW,MEDIUM,32.0,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rolex Processors Pvt. Ltd.,CARE,Term Loan,B-,15-Apr-2026,71,LOW,LOW,MEDIUM,25.17,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ronch Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 2,10-Apr-2026,76,LOW,LOW,MEDIUM,21.5,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ronch Polymers Pvt. Ltd.,CARE,Bank Guarantee,A 2,10-Apr-2026,76,LOW,LOW,MEDIUM,5.15,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Ronch Polymers Pvt. Ltd.,CARE,Term Loan,BBB+,10-Apr-2026,76,LOW,LOW,MEDIUM,,Chemicals/Pharma,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rudra Ecovation Ltd.,CARE,Letter of Credit,D,17-Apr-2026,69,LOW,LOW,MEDIUM,5.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
Rudra Ecovation Ltd.,CARE,Term Loan,D,17-Apr-2026,69,LOW,LOW,MEDIUM,7.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S B W Udyog Ltd.,CARE,Bank Guarantee,A 4,09-Apr-2026,77,LOW,LOW,MEDIUM,5.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S B W Udyog Ltd.,CARE,Term Loan,BB-,09-Apr-2026,77,LOW,LOW,MEDIUM,13.1,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S C T Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,15.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S D M Projects Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,7.0,Other,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S J B Automobiles Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,14-Apr-2026,72,LOW,LOW,MEDIUM,6.05,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S J B Automobiles Pvt. Ltd.,ACUITE,Term Loan,B-,14-Apr-2026,72,LOW,LOW,MEDIUM,3.0,Automobiles,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S J S Healthcare Ltd.,CRISIL,Term Loan,BB-,14-Apr-2026,72,LOW,LOW,MEDIUM,20.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S J S Healthcare Ltd.,CRISIL,Term Loan,BB-,14-Apr-2026,72,LOW,LOW,MEDIUM,5.0,Healthcare,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
S K S Power Generation (Chhattisgarh) Ltd.,ICRA,Non-Fund-Based,D,02-Apr-2026,84,LOW,MEDIUM,MEDIUM,535.0,Energy,April 2026 INC cohort — enters MEDIUM urgency by Nov 1 2026
