Company,Current_Rater,Instruments,Rating,Latest_Rating_Date,Days_Since_Latest,Urgency,Is_INC,INC_Agencies,Amount_Cr,Data_Source,Sector,Also_in_Infomerics,Also_in_D365,INC_Status,Why_Target,ACER_Pitch,Multi_Agency
Crescent Foundry Co. Pvt. Ltd.,CRISIL,Bank Guarantee | Term loans,A-,2025-11-06,279.0,HOT,True,,49.35 | 7.75,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 279.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Minmat Ferro Alloys Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-09-17,279.0,HOT,True,,0.25 | 1.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 279.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sul Steel Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 4,2025-09-17,279.0,HOT,True,,5.00 | 17.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 279.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sharu Steels Pvt. Ltd.,BRICKWORK | CRISIL | ICRA,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2026-03-06,278.0,HOT,True,,20.00 | 8.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL | ICRA has been INC for 278.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
South Malabar Steels & Alloys Pvt. Ltd.,CARE,Bank Guarantee | Term loans,A 4,2025-09-18,278.0,HOT,True,,1.50 | 1.02,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 278.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Chintpurni Steels Pvt. Ltd.,BRICKWORK | CARE | CRISIL,Bank Guarantee | Non-government debt | Term loans,B-/A4,2026-02-05,277.0,HOT,True,,1.50 | 20.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE | CRISIL has been INC for 277.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Manaksia Coated Metals & Inds. Ltd.,ACUITE,Fund based financial facility/instrument | Letter Of credit | Long term Loans,A,2025-09-19,277.0,HOT,False,,49.50 | 72.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Shri Mahavir Ferro Alloys Pvt. Ltd.,IND-RA,Term loans,BBB+,2025-09-19,277.0,HOT,False,,50.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by IND-RA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Sri Langta Baba Steels Pvt. Ltd.,ACUITE,Bank Guarantee,A 3+,2025-09-19,277.0,HOT,False,,13.00 | 1.17,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Veeyes Alloys Pvt. Ltd.,CARE,Term loans,BBB+,2025-12-03,277.0,HOT,False,,39.42 | 83.51,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Kannappan Alloy & Steel Co. Pvt. Ltd.,ACUITE | CRISIL,Letter Of credit | Long term Loans | Term loans,A 4,2026-03-20,274.0,HOT,True,,6.00 | 1.24,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 274.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Tata Bluescope Steel Pvt. Ltd.,CARE,Bank Guarantee,A 1+,2026-02-23,274.0,HOT,False,,200.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
G S Alloy Castings Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2025-09-23,273.0,HOT,True,,0.25 | 6.07,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 273.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Magnum Steels Ltd.,CARE,Term loans,D,2025-09-23,273.0,HOT,True,,14.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 273.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Goyal Energy & Steel Pvt. Ltd.,CARE | CRISIL,Fund based financial facility/instrument | Letter Of credit | Short-term loan,D,2025-12-10,272.0,HOT,True,,20.00 | 11.54,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
National Steel & Agro Industries Ltd. [Merged],ICRA | IND-RA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,D,2026-01-12,272.0,HOT,True,,1199.52 | 17.95,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ICRA | IND-RA has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Rana Steels India Pvt. Ltd.,BRICKWORK | CARE,Letter Of credit | Non-government debt | Term loans,D,2025-10-07,272.0,HOT,True,,4.00 | 3.59,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CARE has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sandur Manganese & Iron Ores Ltd.,ICRA,Non-fund-based financial facility/instrument | Term loans,A+,2025-09-24,272.0,HOT,False,,81.00 | 205.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Shivam Hi-Tech Steels Pvt. Ltd.,CRISIL | ICRA,Bank Guarantee | Letter Of credit | Long term Loans,A 4,2026-01-23,272.0,HOT,True,,15.61 | 2.54,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL | ICRA has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Shree Shailja Iron & Steels Pvt. Ltd.,CRISIL,Long term Loans,BB+,2025-09-24,272.0,HOT,True,,4.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sunrise Multi Steel Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,A 4+,2025-09-24,272.0,HOT,True,,4.50 | 4.51,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 272.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Magadh Metal Industries Private Limited,Infomerics,Long Term Bank Facilities (enhanced from Rs. 150.00 Crore),IVR BBB- (Reaffirmed),2025-09-24,272.0,HOT,False,,Rs. 185.00 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Satwik Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Assigned),2025-09-24,272.0,HOT,False,,Rs. 110.00 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Avon Steel Inds. Pvt. Ltd.,CARE,Short-term loan,A 2,2025-09-25,271.0,HOT,False,,100.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Brahm (Alloys) Ltd.,BRICKWORK,Bank Guarantee | Letter Of credit,D,2025-09-25,271.0,HOT,True,,0.50 | 12.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 271.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Impex Metal & Ferro Alloys Ltd.,CRISIL,Bank Guarantee | Letter Of credit,A 1,2025-09-25,271.0,HOT,False,,20.00 | 80.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
M S P Steel & Power Ltd.,CARE,Bank Guarantee | Letter Of credit | Term loans,A 3+,2026-03-25,271.0,HOT,False,,7.00 | 110.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Madhav Copper Ltd.,CRISIL,Long term Loans,B-,2025-09-25,271.0,HOT,True,,10.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 271.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Maithan Alloys Ltd.,CARE | CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,AA,2026-03-31,271.0,HOT,False,,56.50 | 50.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE | CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Neel Metal Products Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,A+,2025-09-25,271.0,HOT,False,,104.52 | 618.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ganga Iron & Steel Trading Company Limited,Infomerics,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-09-25,271.0,HOT,False,,Rs. 43.35 Cr. (reduced from Rs. 45.14 Crore),Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Giridhan Metal Pvt. Ltd.,CRISIL | IND-RA,Fund based financial facility/instrument | Long term Loans | Non-fund based working capital limit,BBB,2025-09-26,270.0,HOT,False,,275.00 | 60.15,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL | IND-RA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Jai Durga Iron Pvt. Ltd.,ACUITE | CRISIL,Letter Of credit | Long term Loans,A 4,2026-02-25,270.0,HOT,True,,2.25 | 1.44,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE | CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Kansara Popatlal Tibhovandas Metal Pvt. Ltd.,CRISIL,Long term Loans | Term loans,B,2025-09-26,270.0,HOT,True,,5.15 | 3.95,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Premier Steel Complex Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-09-26,270.0,HOT,True,,11.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Veeranarayana Metal Alloys Pvt. Ltd.,BRICKWORK | CRISIL,Bank Guarantee,D,2026-03-25,270.0,HOT,True,,0.30,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK | CRISIL has been INC for 270.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Rajshri Iron Industries Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB (Upgraded and Withdrawn),2025-09-26,270.0,HOT,False,,Rs. 35.00 Cr. | Rs. 0.72 Cr. (Including Proposed Limit of Rs. 0.12 Crore),Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
J S W Steel Coated Products Ltd.,CARE,Bank Guarantee | Non-government debt | Term loans,AA/A1+,2025-09-29,267.0,HOT,False,,920.00 | 3266.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Sambhv Steel Tubes Ltd.,ACUITE | CARE,Letter Of credit | Non-fund-based financial facility/instrument | Non-government debt,A/A1,2025-10-15,267.0,HOT,False,,20.00 | 40.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE | CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Aloke Steels Industries Pvt. Ltd.,ACUITE,Bank Guarantee | Long term Loans,A,2025-09-30,266.0,HOT,False,,1.91 | 2.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Gupta Metal Sheets Ltd.,CARE,Non-government debt | Term loans,B-/A4,2025-12-29,266.0,HOT,True,,7.00 | 13.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 266.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Leebo Metals Pvt. Ltd.,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit,A 3+,2025-09-30,266.0,HOT,False,,3.60 | 12.10,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Metal Scope India Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 4+,2025-09-30,266.0,HOT,True,,20.00 | 27.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 266.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Omega Rolling Mills Pvt. Ltd.,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,A 3+,2025-09-30,266.0,HOT,False,,5.00 | 1.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
P D P Steels Ltd.,CARE,Bank Guarantee,A 3+,2025-09-30,266.0,HOT,False,,52.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
R L Steels And Energy Limited,Infomerics,Long Term Bank Facilities | Proposed Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB- (Reaffirmed),2025-09-30,266.0,HOT,False,,Rs. 138.77 Cr. (Reduced from Rs.158.00 crore) | Rs. 0.23 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Scan Steels Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB+ (Upgraded and Withdrawn),2025-09-30,266.0,HOT,False,,Rs. 99.00 Cr. (Reduced from Rs. 106.93 Crore) | Rs. 4.00 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
B K Rolling Mills Pvt. Ltd.,ACUITE,Term loans,B-,2025-10-01,265.0,HOT,True,,0.91,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 265.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Inalco Metal Pvt. Ltd.,CRISIL,Bank Guarantee | Term loans,A 3+,2025-10-03,263.0,HOT,False,,2.50 | 25.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Jay Vijay Metals Pvt. Ltd.,ACUITE,Letter Of credit | Term loans,D,2025-10-03,263.0,HOT,True,,3.00 | 6.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 263.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
S L R Metaliks Ltd.,CARE,Letter Of credit | Term loans,A-,2025-10-03,263.0,HOT,False,,928.86 | 415.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Boparai Metals Pvt. Ltd.,CRISIL,Long term Loans,B,2025-10-06,260.0,HOT,True,,2.50,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 260.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Steel Infra Solutions Co. Ltd.,IND-RA,Non-fund based working capital limit,A 2+,2025-10-06,260.0,HOT,False,,50.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by IND-RA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Anshul Steels Ltd.,BRICKWORK,Bank Guarantee | Term loans,D,2025-10-07,259.0,HOT,True,,1.00 | 2.52,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 259.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Baroda Hi-Tech Alloys Pvt. Ltd.,CARE,Bank Guarantee | Non-fund-based financial facility/instrument,A 4+,2025-10-07,259.0,HOT,True,,2.00 | 2.20,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 259.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Jai Balaji Jyoti Steels Ltd.,CARE,Non-government debt,BB+/A4+,2025-10-07,259.0,HOT,False,,,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Kothari Metals Ltd.,ICRA,Letter Of credit | Long term Loans,A-,2025-10-07,259.0,HOT,False,,485.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Sandeep Lead Alloys (India) Pvt. Ltd.,CRISIL,Bank Guarantee | Long term Loans,A 4+,2025-10-07,259.0,HOT,True,,1.00 | 16.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 259.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Sona Alloys Pvt. Ltd.,CARE,Term loans,A-(CE),2025-10-07,259.0,HOT,False,,430.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Hindustan Copper Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,AA+/A1+,2026-04-29,258.0,HOT,False,,1400.00 | 200.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Mark Steels Ltd.,CARE,Letter Of credit | Non-government debt,A 3,2025-10-08,258.0,HOT,False,,0.50 | 8.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Steel Exchange India Ltd.,CARE,Letter Of credit,A 4+,2025-10-08,258.0,HOT,False,,40.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Jindal Stainless Ltd.,CARE | CRISIL | IND-RA,Bank Guarantee | Fund based financial facility/instrument | Non-fund based working capital limit,AA,2026-03-20,257.0,HOT,False,,4350.00 | 11000.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE | CRISIL | IND-RA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Jindal Steel Ltd.,CARE | ICRA,Bank Guarantee | Non-fund-based financial facility/instrument | Term loans,AA,2025-10-10,257.0,HOT,False,,16785.00 | 16640.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE | ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Jindal Steel Odisha Ltd.,CARE | ICRA,Non-government debt | Term loans,AA-/A1+,2026-04-09,257.0,HOT,False,,3025.00 | 500.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE | ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Jindal United Steel Ltd.,CARE,Term loans,AA,2025-10-09,257.0,HOT,False,,2539.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Vishakha Metals Pvt. Ltd.,CARE,Non-government debt | Term loans,BBB/A3+,2025-10-09,257.0,HOT,False,,17.00 | 69.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CARE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ajay Steels Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument | Non-government debt,AA-/A1+,2025-10-10,256.0,HOT,False,,30.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ICRA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Bhagyalaxmi Steeltech Pvt. Ltd.,CARE | CRISIL,Fund based financial facility/instrument | Letter Of credit | Long term Loans,A 4+,2026-02-04,256.0,HOT,True,,1.56 | 35.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE | CRISIL has been INC for 256.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Unison Metals Limited,Infomerics,Long Term Bank Facilities | Long/Short Term Bank Facilities (Proposed) | Short Term Bank Facilities,IVR BBB- (Reaffirmed),2025-10-10,256.0,HOT,False,,Rs. 14.46 Cr. (Reduced From Rs. 19.19 Crore) | Rs. 3.29 Cr. (Reduced From Rs. 23.00 Crore),Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Shree Krishna Rolling Mills (Jaipur) Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BBB- (Reaffirmed),2025-10-13,253.0,HOT,False,,Rs. 57.42 Cr. | Rs. 6.00 Cr.,Infomerics,Steel & Metals,,NO,Active,180-365 days — approaching renewal,"As an active steel company rated by Infomerics, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",YES
Bansal Steel & Power Ltd.,CRISIL,Letter Of credit | Term loans,A+,2025-10-14,252.0,HOT,False,,20.00 | 10.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Ganpati Sponge Iron Pvt. Ltd.,ACUITE,Letter Of credit | Term loans,A 3+,2025-10-15,251.0,HOT,True,,15.00 | 11.74,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at ACUITE has been INC for 251.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,YES
Shilpa Steel & Power Ltd.,IND-RA,Non-fund based working capital limit | Term loans,A 2+,2025-10-15,251.0,HOT,False,,170.00 | 27.16,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by IND-RA, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Bansal Aradhya Steel Pvt. Ltd.,CRISIL,Term loans,BBB+,2025-10-16,250.0,HOT,False,,40.00 | 79.00,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by CRISIL, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
G D Metsteel Pvt. Ltd.,CARE,Fund based financial facility/instrument | Term loans,B-,2025-10-16,250.0,HOT,True,,2.17 | 0.83,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CARE has been INC for 250.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Shree Steel Castings Pvt. Ltd.,ACUITE,Bank Guarantee | Letter Of credit | Long term Loans,A 4+,2025-10-16,250.0,HOT,False,,0.80 | 2.50,D365,Steel & Metals,NO,,Active,180-365 days — approaching renewal,"As an active steel company rated by ACUITE, ACER can offer competitive pricing and faster turnaround for your next rating cycle.",NO
Bassi Alloys Pvt. Ltd.,BRICKWORK,Fund based financial facility/instrument | Term loans,C,2025-10-17,249.0,HOT,True,,1.63 | 4.82,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 249.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Chintpurni Steel Private Limited,Infomerics,Long Term Bank Facilities | Short Term Bank Facilities,IVR BB (INC)(Downgraded),2025-10-17,249.0,HOT,True,Infomerics,Rs. 60.50 Cr. | Rs. 4.20 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 249.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Narsimha Iron and Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-10-17,249.0,HOT,True,Infomerics,Rs. 14.91 Cr.,Infomerics,Steel & Metals,,NO,INC,INC at Infomerics | 180-365 days — approaching renewal,Your steel company's rating at Infomerics has been INC for 249.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Shantdeep Metals Pvt. Ltd.,CRISIL,Long term Loans | Term loans,D,2025-10-20,246.0,HOT,True,,1.00 | 10.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 246.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Akash Steel Crafts Pvt. Ltd.,BRICKWORK,Non-government debt,A 4,2025-10-24,242.0,HOT,True,,5.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at BRICKWORK has been INC for 242.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
Bhupendra Steels Pvt. Ltd.,CRISIL,Letter Of credit | Term loans,A 4,2025-10-24,242.0,HOT,True,,15.00 | 9.00,D365,Steel & Metals,NO,,INC,INC at  | 180-365 days — approaching renewal,Your steel company's rating at CRISIL has been INC for 242.0 days. ACER specializes in steel sector — we can provide an active credit rating in 21 days.,NO
