Company Name,Rating Date,Current Rater,Instrument,Grade,Rating,Days Since Rating,Urgency,Why Target,ACER Pitch Angle
Kumar Arch Tech Ltd.,30-09-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4+,266,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 266 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Farm India Impex Pvt. Ltd.,06-10-2025,ICRA,Letter Of credit,High Risk,A 4+,260,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 260 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S U Toll Road Pvt. Ltd.,07-10-2025,ICRA,Term loans,Default,D,259,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 259 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sarveshwari Exports Pvt. Ltd.,08-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,258,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 258 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kurlon Enterprise Ltd.,08-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,258,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 258 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
P V R Projects Ltd.,08-10-2025,ICRA,Bank Guarantee,High Risk,A 4,258,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 258 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Usha Shriram Enterprises Pvt. Ltd.,08-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,258,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 258 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vareli Tecnac Pvt. Ltd.,08-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,258,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 258 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Royal Castor Products Ltd.,09-10-2025,ICRA,Short-term loan,High Risk,A 4,257,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 257 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Udayam Medical Centre (Trichy) Pvt. Ltd.,10-10-2025,ICRA,Non-government debt,Inadequate Safety,BB-/A4,256,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 256 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Pagro Frozen Foods Pvt. Ltd.,13-10-2025,ICRA,Term loans,High Risk,B,253,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 253 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Waterline Hotels Pvt. Ltd.,13-10-2025,ICRA,Term loans,High Risk,B-,253,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 253 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sona Processors (India) Ltd.,13-10-2025,ICRA,Term loans,High Risk,B+,253,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 253 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
J P Sortex Pvt. Ltd.,13-10-2025,ICRA,Non-government debt,High Risk,B+/A4,253,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 253 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Pratibha Constructions Engineers & Contractors (India) Pvt. Ltd.,15-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,251,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 251 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Govardhan Ispat (India) Pvt. Ltd.,15-10-2025,ICRA,Term loans,High Risk,B+,251,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 251 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
I L & F S Solar Power Ltd.,16-10-2025,ICRA,Term loans,Default,D,250,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 250 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sungwoo Stamping Pvt. Ltd.,16-10-2025,ICRA,Term loans,Adequate Safety,A-,250,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 250 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kali Aerated Water Works Pvt. Ltd.,17-10-2025,ICRA,Term loans,High Risk,B+,249,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 249 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K S K Mineral Resources Pvt. Ltd.,17-10-2025,ICRA,Term loans,Default,D,249,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 249 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ganapati Fishing Lines Pvt. Ltd.,17-10-2025,ICRA,Non-government debt,High Risk,B+/A4,249,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 249 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
R G T L Inds. Ltd.,17-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,249,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 249 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Air Vision India Pvt. Ltd.,17-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,249,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 249 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sri Narayani Plastics Pvt. Ltd.,20-10-2025,ICRA,Non-government debt,High Risk,B+/A4,246,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 246 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Coffee Day Enterprises Ltd.,20-10-2025,ICRA,Term loans,Default,D,246,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 246 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kothari Metsol Pvt. Ltd.,21-10-2025,ICRA,Non-government debt,High Risk,B+/A4,245,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 245 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Carbon Edge Inds. Ltd.,21-10-2025,ICRA,Non-government debt,High Risk,B+/A4,245,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 245 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Aruppukottai Shri Ramalinga Spinners Pvt. Ltd.,21-10-2025,ICRA,Term loans,High Risk,B,245,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 245 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S B Cars Pvt. Ltd.,22-10-2025,ICRA,Term loans,High Risk,B+,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Maruti Nouveauknits Pvt. Ltd.,22-10-2025,ICRA,Non-government debt,Default,D,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sri Vaishnavi Spintex (India) Pvt. Ltd.,22-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,B,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Q I Network Enterprise Pvt. Ltd.,22-10-2025,ICRA,Non-government debt,High Risk,B+/A4,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sunrise Seafoods India Pvt. Ltd.,22-10-2025,ICRA,Non-government debt,High Risk,B+/A4,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Pan Synthetics Pvt. Ltd.,22-10-2025,ICRA,Non-government debt,High Risk,B+/A4,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Radheya Machining Ltd.,22-10-2025,ICRA,Term loans,High Risk,B+,244,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 244 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
A K Das Associates Ltd.,23-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kadvani Forge Ltd.,23-10-2025,ICRA,Term loans,Substantial Risk,C,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Madhucon Projects Ltd.,23-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Associated Works Infra Pvt. Ltd.,23-10-2025,ICRA,Non-government debt,High Risk,B+/A4,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
B R Guar Gum Pvt. Ltd.,23-10-2025,ICRA,Non-government debt,High Risk,B+/A4,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Akasva Infrastructure Pvt. Ltd.,23-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Roshan Real Estates Pvt. Ltd.,23-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,243,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 243 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
U M S L Ltd.,27-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,239,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 239 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Telawne Power Equipments Pvt. Ltd.,28-10-2025,ICRA,Term loans,High Risk,B+,238,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 238 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Khoday India Ltd.,28-10-2025,ICRA,Term loans,High Risk,B+,238,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 238 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
D H S Hotels Pvt. Ltd.,28-10-2025,ICRA,Term loans,High Risk,B+,238,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 238 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Deekay Trexim (India) Pvt. Ltd.,28-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,238,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 238 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Dynamic Transmission Ltd.,28-10-2025,ICRA,Term loans,High Risk,B+,238,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 238 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Maa Shitala Agro Pvt. Ltd.,28-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,B+,238,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 238 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sahuwala Cylinders Pvt. Ltd.,29-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,B+,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Lakshmidurga Textiles Pvt. Ltd.,29-10-2025,ICRA,Term loans,High Risk,B+,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Vaighai Agro Products Ltd.,29-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Coastal Energen Pvt. Ltd.,29-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Dipanshu Promoter & Builder Pvt. Ltd.,29-10-2025,ICRA,Non-government debt,High Risk,B+/A4,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mukta Industries Pvt. Ltd.,29-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Oshina Expo Pvt. Ltd.,29-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Nandan Saha Steel Pvt. Ltd.,29-10-2025,ICRA,Non-government debt,High Risk,B+/A4,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Bevcon Wayors Pvt. Ltd.,29-10-2025,ICRA,Term loans,Default,D,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kay Jay Forgings Ltd.,29-10-2025,ICRA,Term loans,High Risk,B+,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mateshwari Foodstuff Pvt. Ltd.,29-10-2025,ICRA,Term loans,High Risk,B,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kailash Devbuild (India) Pvt. Ltd.,29-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,237,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 237 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Hasimara Industries Ltd.,30-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,236,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 236 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Aklavya Industries Pvt. Ltd.,30-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,236,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 236 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Lanco Solar Pvt. Ltd.,30-10-2025,ICRA,Term loans,Default,D,236,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 236 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Lanco Solar Energy Pvt. Ltd.,30-10-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,236,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 236 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Mathiyan Construction Pvt. Ltd.,30-10-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,236,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 236 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Natural Sugar & Allied Inds. Ltd.,30-10-2025,ICRA,Term loans,Default,D,236,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 236 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ramee Hotels Pvt. Ltd.,07-11-2025,ICRA,Non-government debt,Default,D,228,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 228 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sentini Hospitals Pvt. Ltd.,07-11-2025,ICRA,Term loans,High Risk,B+,228,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 228 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Jharkhand Infrastructure Implementation Co. Ltd.,07-11-2025,ICRA,Term loans,Default,D,228,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 228 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Paramount Rice Pvt. Ltd.,07-11-2025,ICRA,Term loans,High Risk,B+,228,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 228 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Infrastructure Leasing & Financial Services Ltd.,07-11-2025,ICRA,Term loans,Default,D,228,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 228 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Avani Petrochem Pvt. Ltd.,07-11-2025,ICRA,Term loans,High Risk,B+,228,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 228 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Siflon Pharma Pvt. Ltd.,10-11-2025,ICRA,Term loans,Inadequate Safety,BB-,225,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 225 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Visakhapatnam Port Logistics Park Ltd.,11-11-2025,ICRA,Term loans,High Risk,B-,224,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 224 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Indian Furniture Products Ltd.,12-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,223,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 223 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Hitesh Plastics Pvt. Ltd.,12-11-2025,ICRA,Term loans,High Risk,B+,223,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 223 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Indian Pulp & Paper Pvt. Ltd.,12-11-2025,ICRA,Term loans,Default,D,223,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 223 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
H B S Realtors Pvt. Ltd.,13-11-2025,ICRA,Debentures / Bonds / notes / bills,Default,D,222,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 222 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Nandi Irrigation Systems Ltd.,14-11-2025,ICRA,Non-government debt,Default,D,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shri Ram Switchgears Ltd.,14-11-2025,ICRA,Non-fund-based financial facility/instrument,Default,D,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Dishnet Wireless Ltd.,14-11-2025,ICRA,Term loans,Default,D,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Adya Dairy Products Pvt. Ltd.,14-11-2025,ICRA,Non-government debt,High Risk,B+/A4,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
International Fresh Farm Products (India) Ltd.,14-11-2025,ICRA,Term loans,Default,D,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Kailash Infratech Pvt. Ltd.,14-11-2025,ICRA,Long term Loans,High Risk,B,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Travancore Cocotuft Pvt. Ltd.,14-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Sesa Minerals Ltd.,14-11-2025,ICRA,Fund based financial facility/instrument,Default,D,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Krishna Natural Fibre Pvt. Ltd.,14-11-2025,ICRA,Term loans,High Risk,B,221,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 221 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Pioneer Tea & Exports Ltd.,17-11-2025,ICRA,Term loans,High Risk,B+,218,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 218 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Laborate Pharmaceuticals India Ltd.,17-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,218,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 218 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ridley Life Science Pvt. Ltd.,17-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,218,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 218 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S & I B Services Pvt. Ltd.,19-11-2025,ICRA,Non-government debt,High Risk,B+/A4,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Ramsons Castings Pvt. Ltd.,19-11-2025,ICRA,Non-government debt,High Risk,B+/A4,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Durga Polysters Pvt. Ltd. [Merged],19-11-2025,ICRA,Term loans,High Risk,B+,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Saurabh Agrotech Pvt. Ltd.,19-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shaarc Projects Ltd.,19-11-2025,ICRA,Term loans,Default,D,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Real Granito Pvt. Ltd.,19-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Chevrox Constructions Pvt. Ltd.,19-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rajshree Sugars & Chemicals Ltd.,19-11-2025,ICRA,Term loans,Default,D,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Banas Stones Pvt. Ltd.,19-11-2025,ICRA,Term loans,High Risk,B+,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Malhati Tea & Inds. Ltd.,19-11-2025,ICRA,Term loans,High Risk,B-,216,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 216 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shri Nivas (Gujarat) Laboratories Pvt. .Ltd,20-11-2025,ICRA,Term loans,High Risk,B+,215,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 215 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Roop Technology Pvt. Ltd.,20-11-2025,ICRA,Long term Loans,Default,D,215,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 215 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
R P L Projects Ltd.,20-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,A 4,215,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 215 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Shubh Motors Pvt. Ltd.,21-11-2025,ICRA,Term loans,High Risk,B+,214,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 214 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Suma Foods Pvt. Ltd.,24-11-2025,ICRA,Term loans,Default,D,211,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 211 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
K T C Foods Pvt. Ltd.,24-11-2025,ICRA,Term loans,Default,D,211,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 211 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Wintop Vitrified Pvt. Ltd.,25-11-2025,ICRA,Non-government debt,High Risk,B/A4,210,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 210 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Pricol Engineering Inds. Pvt. Ltd.,25-11-2025,ICRA,Non-fund-based financial facility/instrument,Moderate Safety,A 3+,210,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 210 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Rosha Alloys Pvt. Ltd.,26-11-2025,ICRA,Non-fund-based financial facility/instrument,High Risk,B+,209,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 209 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Suncity Synthetics Ltd.,26-11-2025,ICRA,Term loans,Default,D,209,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 209 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Maruti Products Pvt. Ltd.,26-11-2025,ICRA,Term loans,High Risk,B+,209,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 209 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
S P Sortex Rice Exports India Pvt. Ltd.,26-11-2025,ICRA,Term loans,High Risk,B+,209,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 209 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
Euro Pratik Ispat Pvt. Ltd.,26-11-2025,ICRA,Short-term loan,High Risk,A 4,209,HOT,"ICRA INC — rating non-functional, company available for ACER",ICRA has rated you INC for 209 days — your credit facility is at risk. ACER can issue a fresh rating in 15 days.
