Company,Agencies_INC_April2026,Agency_Count,Instruments,Max_Days_Since_Rating,Urgency,Data_Source,Why_Target,ACER_Pitch
Baba Malleshwar Rice Mill Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Belgachi Tea Co. Ltd.,CARE,1,Bank Guarantee | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Boxcoworld Pvt. Ltd.,CRISIL,1,Bank Guarantee | Non-fund-based financial facility/instrument,69.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Buildmate Projects Pvt. Ltd.,CARE,1,Bank Guarantee | Letter Of credit | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Crestia Polytech Pvt. Ltd. [Merged],CRISIL,1,Term loans,69.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,CARE,1,Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Datacipher Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Term loans,69.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Diamond Beverages Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ghai Construction Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt,69.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jalan Transolutions (India) Ltd.,CARE,1,Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Joyguru Cold Storage Pvt. Ltd.,CARE,1,Bank Guarantee,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kaila Devi Health Care Services Pvt. Ltd.,CARE,1,Fund based financial facility/instrument | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kiri Oilfield Services Pvt. Ltd.,CRISIL,1,Bank Guarantee | Fund based financial facility/instrument | Term loans,69.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kniss Laboratories Pvt. Ltd.,CARE,1,Non-government debt | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Krushi Infras India Pvt. Ltd.,ACUITE,1,Bank Guarantee | Long term Loans | Short-term loan,69.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
L Madanlal (Aluminium) Ltd.,ACUITE,1,Letter Of credit,69.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Mani Square Ltd.,CARE,1,Bank Guarantee | Letter Of credit | Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Mittal Udyog Indore Pvt. Ltd.,ICRA,1,Short-term loan,69.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Pragati Marine Services Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt | Term loans,69.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Pravara Renewable Energy Ltd.,CARE,1,Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
R K City Developers Pvt. Ltd.,ICRA,1,Term loans,69.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Rolex Processors Pvt. Ltd.,CARE,1,Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sathy Silks Pvt. Ltd.,CARE,1,Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shree Maheshwar Hydel Power Corpn. Ltd.,CARE,1,Term loans,69.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Special Ceramics Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,69.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Surya Global Hospitals Pvt. Ltd.,ACUITE,1,Term loans,69.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
United Engineering Inds. Pvt. Ltd.,ACUITE,1,Bank Guarantee | Term loans,69.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Whitelotus Industries Ltd.,ACUITE,1,Term loans,69.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Aditya Auto Engineering Pvt. Ltd.,CARE,1,Bank Guarantee | Letter Of credit,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Anjalee Granites Pvt. Ltd.,ICRA,1,Fund based financial facility/instrument | Non-government debt | Term loans,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Anup Malleables Ltd.,CARE,1,Bank Guarantee | Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Aparna Constructions & Estates Pvt. Ltd.,CRISIL,1,Long term Loans | Term loans,68.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Evergreen International Ltd.,CARE,1,Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Fores Elastomech India Pvt. Ltd.,CRISIL,1,Bank Guarantee | Letter Of credit | Term loans,68.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
I C A Edu Skills Pvt. Ltd.,ACUITE,1,Bank Guarantee | Long term Loans,68.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
I L & F S Engg. & Construction Co. Ltd.,CARE,1,Non-fund based working capital limit | Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Idea Sales Agencies Pvt. Ltd.,CARE,1,Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Imperial Tubes Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
J B Daruka Papers Ltd.,CRISIL,1,Term loans,68.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K G S Sugar & Infra Corpn. Ltd.,ICRA,1,Non-government debt | Term loans,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K N Singh Infratech Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kallam Agro Products & Oils Pvt. Ltd.,ICRA,1,Term loans,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Kumaran Systems Pvt. Ltd.,ACUITE,1,Term loans,68.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
M G T Motors Pvt. Ltd.,ACUITE,1,Fund based financial facility/instrument,68.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Mahakaleshwar Tollways Pvt. Ltd.,CARE,1,Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Mittal Filaments Pvt. Ltd.,CARE,1,Bank Guarantee | Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Mutha Engineering Pvt. Ltd.,CARE,1,Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Nalanda Engicon Pvt. Ltd.,CARE,1,Bank Guarantee,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Optics & Allied Engg. Pvt. Ltd.,ICRA,1,Term loans,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Saiyed Paper Mills Ltd.,ACUITE,1,Long term Loans | Term loans,68.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Samruddhi Industries Ltd.,ACUITE,1,Letter Of credit | Long term Loans | Short-term loan,68.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shree Hari Infraprojects Pvt. Ltd.,CARE,1,Letter Of credit | Non-government debt,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sidwin Fabric Pvt. Ltd.,ICRA,1,Non-government debt,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
T K Toll Road Pvt. Ltd.,ICRA,1,Term loans,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Umashakti Steels Pvt. Ltd.,CARE,1,Fund based financial facility/instrument | Term loans,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Utility Forms Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt | Term loans,68.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vasani Polymers Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,68.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vimal Coal Pvt. Ltd.,CARE,1,Letter Of credit | Non-government debt,68.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
A G S Transact Technologies Ltd.,CRISIL,1,Long term Loans | Term loans,67.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Arun Spinning Mills Pvt. Ltd.,ACUITE,1,Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Auto Hitech Pvt. Ltd.,ICRA,1,Term loans,67.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
B D Steels Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument,67.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhagwati Industrial Group Ltd.,CRISIL,1,Fund based financial facility/instrument | Letter Of credit | Term loans,67.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Brs Enterprises & Trading Ltd.,ACUITE,1,Letter Of credit,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Energy Development Co. Ltd.,CARE,1,Bank Guarantee,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Fenasia Ltd.,ACUITE,1,Letter Of credit | Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Flexituff Ventures Intl. Ltd.,CARE,1,Non-fund based working capital limit | Non-government debt | Term loans,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
G Net Tradelinks Pvt. Ltd.,ACUITE,1,Letter Of credit,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Goa Ispat Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Term loans,67.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Greta Steels Pvt. Ltd.,ACUITE,1,Letter Of credit,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
H N Agri Serve Pvt. Ltd.,CRISIL,1,Long term Loans | Term loans,67.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hemodiaz Life Sciences Pvt. Ltd.,CARE,1,Letter Of credit,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
I F P Petro Products Pvt. Ltd.,CARE,1,Fund based financial facility/instrument | Term loans,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Idcol Ferro Chrome & Alloys Ltd. [Merged],CARE,1,Bank Guarantee,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ishwar Ispat Inds. Pvt. Ltd.,CARE,1,Term loans,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Junna Solar Systems Ltd.,CRISIL,1,Letter Of credit | Term loans,67.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K Mohan & Co. (Exports) Pvt. Ltd.,ICRA,1,Non-government debt,67.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K N K Construction Pvt. Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt,67.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
K2 Metals Pvt. Ltd.,ACUITE,1,Letter Of credit | Long term Loans | Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
M B R Flexibles Ltd.,ICRA,1,Non-fund-based financial facility/instrument | Non-government debt | Term loans,67.0,LOW,D365,INC at ICRA in April 2026 peak abandonment period,Your ICRA rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
M G Autosales Pvt. Ltd.,CARE,1,Bank Guarantee | Fund based financial facility/instrument,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Nevco Engineers Pvt. Ltd.,CARE,1,Bank Guarantee | Fund based financial facility/instrument,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Packtech Materials Pvt. Ltd.,ACUITE,1,Long term Loans | Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Phi Audiocom Systems Pvt. Ltd.,ACUITE,1,Bank Guarantee,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Pushpit Steels Pvt. Ltd.,ACUITE,1,Letter Of credit | Short-term loan | Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Rasha Ind. Pvt Ltd,ACUITE,1,Long term Loans | Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ratan Aluminum Recycling Pvt. Ltd.,CRISIL,1,Fund based financial facility/instrument | Long term Loans | Term loans,67.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Rudra Ecovation Ltd.,CARE,1,Letter Of credit | Term loans,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sadbhav Vidarbha Highway Ltd.,CARE,1,Term loans,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Seven Seas Distillery Pvt. Ltd.,CARE,1,Bank Guarantee,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Shri Veerganapathi Steels Pvt. Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Sujata Udit Builders Pvt. Ltd.,CARE,1,Bank Guarantee,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Ved Parkash & Sons Lumbers Pvt. Ltd.,CARE,1,Letter Of credit,67.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vikrma Impex Pvt. Ltd.,ACUITE,1,Bank Guarantee | Letter Of credit | Term loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Vimla Fuels & Metals Ltd.,ACUITE,1,Letter Of credit | Long term Loans,67.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Zenith Leisure Holidays Ltd.,CRISIL,1,Bank Guarantee | Term loans,67.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Adarsha Specialty Chemicals Pvt. Ltd.,ACUITE,1,Letter Of credit | Long term Loans,64.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Adhik Resort India Pvt. Ltd.,CRISIL,1,Bank Guarantee | Long term Loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Bhagwati Vintrade Pvt. Ltd.,CARE,1,Term loans,64.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Chelsea Textiles Pvt. Ltd.,CRISIL,1,Long term Loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Dhanbad Rock Wool Insulation Ltd.,CRISIL,1,Bank Guarantee | Term loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Dilip Impex Pvt. Ltd.,CRISIL,1,Bank Guarantee,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Dmson'S Metal Pvt. Ltd.,CRISIL,1,Letter Of credit,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Globe Precision Inds. Pvt. Ltd.,ACUITE,1,Letter Of credit | Term loans,64.0,LOW,D365,INC at ACUITE in April 2026 peak abandonment period,Your ACUITE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Govind Steel Co. Ltd.,CRISIL,1,Fund based financial facility/instrument | Letter Of credit,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hajra Medical Agency Pvt. Ltd.,CARE,1,Bank Guarantee,64.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Hansco Iron & Steels Pvt. Ltd.,CRISIL,1,Letter Of credit | Long term Loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Harbir Automobile Pvt. Ltd.,CARE,1,Term loans,64.0,LOW,D365,INC at CARE in April 2026 peak abandonment period,Your CARE rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
I T A Lake Ceramic Pvt. Ltd.,CRISIL,1,Bank Guarantee | Term loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Immense Industries Pvt. Ltd.,CRISIL,1,Letter Of credit,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Independent Resources India Pvt. Ltd.,CRISIL,1,Term loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Inderjeet Bros Projects Pvt. Ltd.,CRISIL,1,Long term Loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Infab Infrastructure Pvt. Ltd.,CRISIL,1,Bank Guarantee | Letter Of credit,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Innovative Technomics Pvt. Ltd.,CRISIL,1,Bank Guarantee | Letter Of credit,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Intercraft Trading Pvt. Ltd.,CRISIL,1,Long term Loans,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
International Steel Exchange Pvt. Ltd.,CRISIL,1,Bank Guarantee,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Intouch Mobicare Pvt. Ltd.,CRISIL,1,Bank Guarantee,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jai Buildcon Pvt. Ltd.,CRISIL,1,Bank Guarantee,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
Jai Gears Pvt. Ltd.,CRISIL,1,Fund based financial facility/instrument | Letter Of credit,64.0,LOW,D365,INC at CRISIL in April 2026 peak abandonment period,Your CRISIL rating went INC in the April 2026 peak. ACER can deliver a fresh independent rating in 3 weeks.
