Company Name,Current Agency,Instrument,Rating,Original Rating Date,12mo Due Date,Recommended Call Date,Day of Week,Months Since Rating
Saraya Industries Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sarvottam Rolling Mills Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sasi Anand Spg. Mills India Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sasi Anand Spg. Mills India Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Saviton Metplast Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Saviton Metplast Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sharvi Agro Mills Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sheenlac Paints Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sheenlac Paints Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shell Apparels Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shell Apparels Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shiva Structures Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shiva Structures Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shivganga Drillers Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shivganga Drillers Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shivtex Spinning Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shivtex Spinning Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shree Basaveshwar Sugars Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shree Jaya Laboratories Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shree Saibaba Green Power Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shree Salasarhanumanji Grains Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shreegopal Gobind Agro Tech Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shri Balaji Institute Of Nursing Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shri Sagar Woven Pvt. Ltd.,IND-RA,Term loans,B,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shri Sankalp Medical & Research Institute Pvt. Ltd.,IND-RA,Term loans,B,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shri Varu Polytex Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Shubh Rice Exports Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Siddhardha Constructions Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Siddhi Vinayak Knots & Prints Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Siddhi Vinayak Knots & Prints Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Siddhi Weaves Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Signet Products Pvt. Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Signet Products Pvt. Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Simplex Castings Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Simplex Castings Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Smart Agro Food Park Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Snehal Impex Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Solarcraft Infrastructure & Services Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sonachi Industries Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sonic Thermal Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Soubhagya Processor Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Southern Gold Pvt. Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Spirit Infratech Pvt. Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sree Lalitha Parameswari Spg. Mills Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sree Lalitha Parameswari Spg. Mills Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sree Shanmuga Modern Rice Mills Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sree Shanmuga Modern Rice Mills Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sri K P R Industries Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sri K P R Infra & Projects Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sri K P R Infra & Projects Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Srinivasa Construction Corpn. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Su-Solartech Systems Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sunny Star Hotels Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sunraj Ceramic Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Sunraj Ceramic Pvt. Ltd.,IND-RA,Term loans,B,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Super Overseas Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Suri Shoes Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Surya Carpet Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Surya Electricals & Engineers Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Surya Shakti Vessels Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Suryodaya Infra Projects (I) Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Swastik Ceracon Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Swastik Ceracon Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Swastik Pipe Ltd.,IND-RA,Non-fund based working capital limit,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Swastik Pipe Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Swati Concast & Power Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
T & T Infra Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
T & T Infra Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Team Hiitec Eqpt Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Tera Software Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Topsun Energy Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Topsun Energy Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
United Chloro-Paraffins Pvt. Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
United Chloro-Paraffins Pvt. Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
United Electricals & Engg. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Utracon Structural Systems Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Uttarakhand Engineering Products Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
V M D Mills Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
V M D Mills Pvt. Ltd.,IND-RA,Term loans,B,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vallabhaneni Constructions Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vapi Eco Energy Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vega Conveyors & Automation Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vega Conveyors & Automation Pvt. Ltd.,IND-RA,Term loans,BB-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Venkatalakshmi Paper & Boards Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Venus Alloys Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vibrant Constructions Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vijay Textiles Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vijay Textiles Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vinirrmaa Projects Pvt. Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vinit Fabrics Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Viraj Constructions Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Viraj Constructions Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vishal Infraglobal Pvt. Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vishal Infrastructure Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vishnu Cars Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vista Pharmaceuticals Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vista Pharmaceuticals Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vivaan Solar Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vivaan Solar Pvt. Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Vivek Realty & Resorts Pvt. Ltd.,IND-RA,Term loans,B,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
W R C Engineering Co. Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
W R C Engineering Co. Pvt. Ltd.,IND-RA,Term loans,B-,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Akshar Spintex Ltd.,IND-RA,Non-fund based working capital limit,C,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Akshar Spintex Ltd.,IND-RA,Term loans,C,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Wellness Forever Medicare Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Wellness Forever Medicare Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Yazdani Steel & Power Ltd.,IND-RA,Non-fund based working capital limit,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Yazdani Steel & Power Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Yogiraj Spinning Ltd.,IND-RA,Term loans,B+,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Z K L Bearings (India) Pvt. Ltd.,IND-RA,Non-fund based working capital limit,A 4,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Zaaci Diamonds India Pvt. Ltd.,IND-RA,Term loans,D,2025-07-18,2026-07-18,2026-07-18,Saturday,11.2
Celebrity Life Sciences Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Guhan Textile Mills Pvt. Ltd.,ACUITE,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Guhan Textile Mills Pvt. Ltd.,ACUITE,Long term Loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Guhan Textile Mills Pvt. Ltd.,ACUITE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Indira Exim Pvt. Ltd.,ACUITE,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
L S Rice Exports Pvt. Ltd.,ACUITE,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Ma Mahamaya Rice Mill Pvt. Ltd.,ACUITE,Bank Guarantee,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Ma Mahamaya Rice Mill Pvt. Ltd.,ACUITE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Pannageshwar Sugar Mills Ltd.,ACUITE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Parani Spinning Mills Pvt. Ltd.,ACUITE,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Parani Spinning Mills Pvt. Ltd.,ACUITE,Long term Loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Parani Spinning Mills Pvt. Ltd.,ACUITE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Shiva Wheels Pvt. Ltd.,ACUITE,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sri Textile Erode Pvt. Ltd.,ACUITE,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sri Textile Erode Pvt. Ltd.,ACUITE,Long term Loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sri Textile Erode Pvt. Ltd.,ACUITE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Truevalue Engineering Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Truevalue Engineering Pvt. Ltd.,ACUITE,Long term Loans,C,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Vapi Pigments Pvt. Ltd.,ACUITE,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Vapi Pigments Pvt. Ltd.,ACUITE,Long term Loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
B R Overseas Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Indian Chillies Trdg. Co. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Indian Chillies Trdg. Co. Ltd.,BRICKWORK,Non-fund-based financial facility/instrument,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Lemon Electronics Ltd.,BRICKWORK,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Orbit Ayas Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Orbit Ayas Pvt. Ltd.,BRICKWORK,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Andhra Pradesh Power Generation Corpn. Ltd.,BRICKWORK,Non-fund based working capital limit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Andhra Pradesh Power Generation Corpn. Ltd.,BRICKWORK,Fund based financial facility/instrument,C,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Wegmans Industries Pvt. Ltd.,BRICKWORK,Term loans,C,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Climax Overseas Pvt. Ltd.,CARE,Fund based financial facility/instrument,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Climax Overseas Pvt. Ltd.,CARE,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Climax Overseas Pvt. Ltd.,CARE,Non-fund-based financial facility/instrument,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Climax Overseas Pvt. Ltd.,CARE,Non-government debt,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Climax Overseas Pvt. Ltd.,CARE,Short-term loan,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Climax Overseas Pvt. Ltd.,CARE,Short-term loan,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Elegance Food Processing & Impex Pvt. Ltd.,CARE,Bank Guarantee,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Elegance Food Processing & Impex Pvt. Ltd.,CARE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Man Structurals Pvt. Ltd.,CARE,Non-government debt,BB-/A4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Naga Sindhu Spg. & Ginning Mills Pvt. Ltd.,CARE,Term loans,B-,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Saluja Steel & Power Pvt. Ltd.,CARE,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Saluja Steel & Power Pvt. Ltd.,CARE,Non-government debt,BB/A4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Saluja Steel & Power Pvt. Ltd.,CARE,Term loans,BB,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Technico Strips & Tubes Pvt. Ltd.,CARE,Bank Guarantee,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Technico Strips & Tubes Pvt. Ltd.,CARE,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Anandaloke Medical Centre Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Anandaloke Medical Centre Pvt. Ltd.,CARE,Term loans,BB,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Compact Lamps Pvt. Ltd.,CRISIL,Bank Guarantee,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Compagnie Indo Francaise De Commerce Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
D G B Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
D L A Industries Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
D L A Industries Pvt. Ltd.,CRISIL,Long term Loans,B-,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
D L A Industries Pvt. Ltd.,CRISIL,Term loans,B-,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Desein Pvt. Ltd.,CRISIL,Bank Guarantee,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Desein Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Dhall Enterprises & Engineers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Dhall Enterprises & Engineers Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Dhall Enterprises & Engineers Pvt. Ltd.,CRISIL,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Dipanshu Promoter & Builder Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Emerging Projects Pvt. Ltd.,CRISIL,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Essel Kitchenware Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Essel Kitchenware Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Essel Kitchenware Pvt. Ltd.,CRISIL,Long term Loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Express Infocom Pvt. Ltd.,CRISIL,Long term Loans,B+,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Express Infocom Pvt. Ltd.,CRISIL,Term loans,B+,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Famous Stationery Pvt. Ltd.,CRISIL,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Ferrum Extreme Engineering Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Ferrum Extreme Engineering Pvt. Ltd.,CRISIL,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Ferrum Extreme Engineering Pvt. Ltd.,CRISIL,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Ferrum Extreme Engineering Pvt. Ltd.,CRISIL,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Four Star International Ltd.,CRISIL,Short-term loan,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Gajanan Siddhivinayak Foods Pvt. Ltd.,CRISIL,Fund based financial facility/instrument,B-,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Gajanan Siddhivinayak Foods Pvt. Ltd.,CRISIL,Term loans,B-,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sandhya Infocity Ltd.,CRISIL,Term loans,B,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sri Laxmi Timbers Pvt. Ltd.,CRISIL,Letter Of credit,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sri Laxmi Timbers Pvt. Ltd.,CRISIL,Long term Loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Star Kraft Papers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sudalagunta Sugars Ltd.,CRISIL,Bank Guarantee,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sudalagunta Sugars Ltd.,CRISIL,Fund based financial facility/instrument,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sudalagunta Sugars Ltd.,CRISIL,Long term Loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sudalagunta Sugars Ltd.,CRISIL,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Bafna Ginning & Pressing Pvt. Ltd.,ICRA,Non-fund-based financial facility/instrument,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Nav Shikha Polypack Inds. Pvt. Ltd.,ICRA,Letter Of credit,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Nav Shikha Polypack Inds. Pvt. Ltd.,ICRA,Term loans,B+,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Shree Gopinathji Cars Pvt. Ltd.,ICRA,Term loans,B+,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
T N A Readymix India Pvt. Ltd.,ICRA,Bank Guarantee,A 4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Vibracoustic India Pvt. Ltd.,ICRA,Non-government debt,B+/A4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Vibracoustic India Pvt. Ltd.,ICRA,Non-government debt,B+/A4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Adarsha Auto World Pvt. Ltd.,ICRA,Term loans,C,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Adarsha Automotives Pvt. Ltd.,ICRA,Non-government debt,C/A4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Adarsha Automotives Pvt. Ltd.,ICRA,Term loans,C,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Adilabad Expressway Pvt. Ltd.,ICRA,Term loans,D,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Webfil Ltd.,ICRA,Non-government debt,C+/A4,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Zippy Edible Products Pvt. Ltd.,ICRA,Term loans,B+,2025-07-21,2026-07-21,2026-07-21,Tuesday,11.1
Sanjay Grain Products Pvt. Ltd.,ACUITE,Short-term loan,A 4+,2025-07-22,2026-07-22,2026-07-22,Wednesday,11.1
Sanjay Grain Products Pvt. Ltd.,ACUITE,Long term Loans,BB+,2025-07-22,2026-07-22,2026-07-22,Wednesday,11.1
