Company Name,Agencies Used,Agency Count,Last Rating Date,Rating,Instrument,Urgency,Last Rating Urgency,Sector,INC_Flag,Why Target,Pitch Angle
T B E A Energy (India) Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2025-12-30,BB-,Long term Loans,LOW,LOW,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pan Intellecom Ltd.,ACUITE | CARE | CRISIL,3,2026-01-02,A 3,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Tube Turn (India) Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-01-02,D,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Greenchef Appliances Ltd.,BRICKWORK | CARE | CRISIL,3,2026-01-06,BB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Prima Bay Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-07,A,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Allchem Lifescience Ltd.,BRICKWORK | CARE | ICRA,3,2026-01-08,BB-,Fund based financial facility/instrument,LOW,LOW,Chemicals,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Amrit Malwa Capital Ltd.,ACUITE | CARE | CRISIL,3,2026-01-08,BBB,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
K T L Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-08,BBB-,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pai-Aim Solder (India) Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-08,B+/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Four Star International Ltd.,CARE | CRISIL | IND-RA,3,2026-01-09,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sarjan Infracon Pvt. Ltd.,ACUITE | CARE | ICRA,3,2026-01-09,BBB-/A3,Non-government debt,LOW,LOW,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Venkatalakshmi Paper & Boards Pvt. Ltd.,CARE | ICRA | IND-RA,3,2026-01-09,BB,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
A B C Transformers Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-01-12,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jindal Stainless Steelway Ltd. [Merged],ACUITE | CARE | IND-RA,3,2026-01-12,AA-,Fund based financial facility/instrument,LOW,LOW,Steel & Metals,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kalamandir Jewellers Ltd.,CARE | CRISIL | IND-RA,3,2026-01-12,BBB+/A2,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Truhome Finance Ltd.,CARE | CRISIL | IND-RA,3,2026-01-12,AA,Fund based financial facility/instrument,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Apex Auto Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-13,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Profectus Capital Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-13,A+,Long term Loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Srinivasa Edifice Pvt. Ltd.,ACUITE | CARE | CRISIL,3,2026-01-13,A 4+,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ramkrishna Casting Solutions Ltd.,CRISIL | ICRA | IND-RA,3,2026-01-15,D,Term loans,LOW,LOW,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Camerich Papers Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-16,D,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Continental Milkose (India) Ltd.,ACUITE | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Element Chemilink Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-01-16,B/A4,Non-government debt,LOW,LOW,Chemicals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Emdee Digitronics Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Konark Synthetic Ltd.,CARE | CRISIL | IND-RA,3,2026-01-16,D,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Lanson Motors Pvt. Ltd.,ACUITE | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Lord Balaji Warehousing Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-01-16,D,Term loans,LOW,LOW,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Malwa Automotives Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mani Export Pvt. Ltd.,ACUITE | CRISIL | IND-RA,3,2026-01-16,A 4+,Short-term loan,LOW,LOW,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Multifilms Plastics Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Chemicals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Om Esha Agro Products Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-01-16,B-,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Omkar Infracon Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Paracoat Products Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-01-16,B-/A4,Non-government debt,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Adams Marketing Pvt. Ltd.,CRISIL | ICRA | IND-RA,3,2026-01-19,D,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Buds Tea Inds. Ltd.,CARE | CRISIL | ICRA,3,2026-01-19,D,Non-fund-based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
K P M Processing Mill Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-20,B+,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ken Enterprises Ltd.,ACUITE | BRICKWORK | IND-RA,3,2026-01-20,B+,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Utracon Structural Systems Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-20,BBB/A3+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ganapati Fishing Lines Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2026-01-21,B,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ghaziabad Ship Breakers Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-01-21,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
K K Duplex & Paper Mills Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-01-21,D,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kanchana Automobiles Pvt. Ltd.,ACUITE | CARE | CRISIL,3,2026-01-21,BB+,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
P C Patel Infra Pvt. Ltd.,ACUITE | BRICKWORK | ICRA,3,2026-01-21,BB+,Term loans,LOW,LOW,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ramaa Shyama Papers Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-01-21,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Central Bank Of India Ltd.,CRISIL | ICRA | IND-RA,3,2026-01-22,AA-,Debentures / Bonds / notes / bills,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ekam Agro Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-01-22,D,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
R S Development & Constructions India Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-01-22,B+,Fund based financial facility/instrument,LOW,LOW,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S S S Rice Mill Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-01-23,D,Non-fund-based financial facility/instrument,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ganadhi Pati Construction Pvt. Ltd.,ACUITE | BRICKWORK | ICRA,3,2026-01-27,B+/A4,Non-government debt,LOW,LOW,Construction,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kalinga Breeding Farms Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-01-27,B,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S P Sortex Rice Exports India Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2026-01-27,B,Long term Loans,LOW,LOW,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sri Narayani Plastics Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2026-01-27,A 4,Letter Of credit,LOW,LOW,Chemicals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Auric Motors Pvt. Ltd.,BRICKWORK | CARE | IND-RA,3,2026-01-28,BB-,Fund based financial facility/instrument,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Effulgence Trading & Services Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-01-28,D,Letter Of credit,LOW,LOW,Trading,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S A Iron & Alloys Pvt. Ltd.,BRICKWORK | CRISIL | ICRA,3,2026-01-28,D,Term loans,LOW,LOW,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S M F G India Credit Co. Ltd.,CARE | CRISIL | ICRA,3,2026-01-28,AAA,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
East Hooghly Polyplast Pvt. Ltd.,ACUITE | CARE | IND-RA,3,2026-01-29,A 3+,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
India Factoring & Finance Solutions Pvt. Ltd.,ACUITE | CARE | IND-RA,3,2026-01-29,BBB+,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ritco Logistics Ltd.,CARE | CRISIL | ICRA,3,2026-01-29,BBB+,Bank Guarantee,LOW,LOW,Logistics,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Jodhpur Vidyut Vitran Nigam Ltd.,ACUITE | BRICKWORK | CARE,3,2026-01-30,BBB(CE),Debentures / Bonds / notes / bills,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Magpie Global Ltd.,ACUITE | CRISIL | IND-RA,3,2026-01-30,B,Long term Loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mangalam Rice Mill Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-01-30,B,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S K Finance Ltd.,CARE | CRISIL | IND-RA,3,2026-01-30,AA-,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Pan Synthetics Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2026-01-31,A 4,Letter Of credit,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Primuss Pipes & Tubes Ltd.,BRICKWORK | CARE | CRISIL,3,2026-01-31,D,Long term Loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Frontier Knitters Pvt. Ltd.,CARE | CRISIL | IND-RA,3,2026-02-02,BB,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Hasti Petro Chemical & Shipping Ltd.,BRICKWORK | CARE | IND-RA,3,2026-02-02,A 4,Bank Guarantee,LOW,LOW,Chemicals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
J S Auto Cast Foundry India Pvt. Ltd.,ACUITE | CRISIL | ICRA,3,2026-02-02,A 4,Letter Of credit,LOW,LOW,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
S R M Contractors Ltd.,ACUITE | BRICKWORK | CARE,3,2026-02-02,A 4+,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Thakkarsons Roll Forming Pvt. Ltd.,BRICKWORK | CRISIL | IND-RA,3,2026-02-02,D,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ajay Ingot Rolling Mill Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-02-03,B,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dabra Agro Pvt. Ltd.,BRICKWORK | CARE | IND-RA,3,2026-02-03,D,Term loans,LOW,LOW,Agro/Food,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Dhariwal Infrastructure Ltd.,CARE | ICRA | IND-RA,3,2026-02-03,A+,Term loans,LOW,LOW,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Finolex J-Power Systems Ltd.,CARE | ICRA | IND-RA,3,2026-02-03,BB+,Term loans,LOW,LOW,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Meil Anpara Energy Ltd.,ACUITE | BRICKWORK | CRISIL,3,2026-02-03,A+,Term loans,LOW,LOW,Infrastructure,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
New Consolidated Construction Co. Ltd.,ACUITE | BRICKWORK | CARE,3,2026-02-03,A 2,Bank Guarantee,LOW,LOW,Construction,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Purti Vanaspati Pvt. Ltd.,ACUITE | CARE | CRISIL,3,2026-02-03,A 3,Letter Of credit,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
T K International Ltd.,BRICKWORK | CRISIL | ICRA,3,2026-02-03,A 4,Bank Guarantee,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Yadav Solvex Pvt. Ltd.,ACUITE | BRICKWORK | CRISIL,3,2026-02-03,B-,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Mahip Industries Ltd.,BRICKWORK | CARE | IND-RA,3,2026-02-04,D,Term loans,LOW,LOW,Other/Unknown,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
V V C Motors Pvt. Ltd.,CRISIL | ICRA | IND-RA,3,2026-02-04,BBB+,Long term Loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Alex Astral Power Pvt. Ltd.,ACUITE | BRICKWORK | IND-RA,3,2026-02-05,B,Term loans,LOW,LOW,Infrastructure,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Chintpurni Steels Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-02-05,A 2,Bank Guarantee,LOW,LOW,Steel & Metals,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Hilltop Hirise Pvt. Ltd.,CARE | CRISIL | ICRA,3,2026-02-05,A 3,Bank Guarantee,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Home First Finance Co. India Ltd.,CARE | ICRA | IND-RA,3,2026-02-05,AA,Term loans,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Iron Triangle Ltd.,CARE | CRISIL | ICRA,3,2026-02-05,B+,Term loans,LOW,LOW,Steel & Metals,Y,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Kei Industries Ltd.,CARE | ICRA | IND-RA,3,2026-02-05,AA+/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
P K Laxmi Mill India Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-02-05,BBB+,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
P K P N Spinning Mills Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-02-05,BBB+,Term loans,LOW,LOW,Textiles,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Promac Engineering Inds. Ltd.,ACUITE | BRICKWORK | CARE,3,2026-02-05,BBB-,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Ramdev Stainless Strips Pvt. Ltd.,BRICKWORK | CARE | CRISIL,3,2026-02-05,B,Term loans,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Sify Infinit Spaces Ltd.,CARE | CRISIL | ICRA,3,2026-02-05,AA/A1+,Non-government debt,LOW,LOW,Other/Unknown,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
Aditya Birla Housing Finance Ltd.,CRISIL | ICRA | IND-RA,3,2026-02-06,AAA/A1+,Non-government debt,LOW,LOW,BFSI,N,Uses 3 agencies — already open to multiple raters. ACER can compete directly.,"Company already works with multiple rating agencies. ACER offers competitive pricing, faster turnaround, and dedicated SME coverage."
