Infomerics Name,d365 Name,Infomerics Normalized,d365 Normalized,Match Score,Match Quality,INF Instrument,INF Rating,INF Rating Date,INF Urgency,Sector,d365 Agency,d365 Instrument,d365 Rating,d365 Rating Date,d365 Urgency,d365 INC,Why Target
Purulia Metal Castings Private Limited,Purulia Metal Casting Pvt. Ltd.,PURULIA METAL CASTINGS,PURULIA METAL CASTING,97.67441860465115,HIGH,Long Term Bank Facility,Withdrawn,2025-06-09,HIGH,Steel & Metals,ACUITE,Term loans,D,2025-06-10,HIGH,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Suriya Spinning Mills,Supriya Spinning Mills Pvt. Ltd.,SURIYA SPINNING MILLS,SUPRIYA SPINNING MILLS,97.67441860465115,HIGH,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-07-11,MEDIUM,Textiles,ICRA,Term loans,B,2025-09-24,MEDIUM,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Jay Jagdamba Profiles Private Limited,Jay Jagdamba Profile Pvt. Ltd.,JAY JAGDAMBA PROFILES,JAY JAGDAMBA PROFILE,97.5609756097561,HIGH,Short Term Facilities (Non-Fund Based-BG),IVR A3 (Issuer not Cooperating),2024-12-26,HIGH,Other/Unknown,ACUITE,Long term Loans,A,2025-10-08,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Thakur Infraprojects Private Limited,Thakur Infra Projects Pvt. Ltd.,THAKUR INFRAPROJECTS,THAKUR INFRA PROJECTS,97.5609756097561,HIGH,Proposed Short Term Bank Facilities,IVR A2+ (Assigned),2025-01-23,HIGH,Infrastructure,CARE,Bank Guarantee,A 3+,2026-01-05,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
JS Auto Cast Foundry India Private Limited,J S Auto Cast Foundry India Pvt. Ltd.,JS AUTO CAST FOUNDRY,J S AUTO CAST FOUNDRY,97.5609756097561,HIGH,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2026-01-09,LOW,Steel & Metals,ACUITE,Letter Of credit,A 4,2026-02-02,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Maa Sheetla Ventures Limited,Maasheetla Ventures Ltd.,MAA SHEETLA VENTURES,MAASHEETLA VENTURES,97.43589743589743,HIGH,Long Term Bank Facilities,IVR BBB- (Reaffirmed),2025-03-24,HIGH,Other/Unknown,CRISIL,Term loans,B+,2025-11-18,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Four EF Renewables Private Limited,Four E F Renewables Pvt. Ltd.,FOUR EF RENEWABLES,FOUR E F RENEWABLES,97.2972972972973,HIGH,Long Term Bank Facilities,IVR A (Assigned),2025-01-23,HIGH,Other/Unknown,CARE,Term loans,A,2026-03-05,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Chandrahasni Ispat Private Limited,Chandra Hasni Ispat Pvt. Ltd.,CHANDRAHASNI ISPAT,CHANDRA HASNI ISPAT,97.2972972972973,HIGH,Long Term Bank Facilities,IVR BBB (Upgraded and Withdrawn),2025-10-31,MEDIUM,Other/Unknown,CRISIL,Long term Loans,BBB,2026-04-02,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
AB Grain Spirits Private Limited,A B Grain Spirits Pvt. Ltd.,AB GRAIN SPIRITS,A B GRAIN SPIRITS,96.96969696969697,HIGH,Long Term Bank Facilities,IVR BBB- (Upgraded),2025-02-24,HIGH,Agro/Food,BRICKWORK,Term loans,B+,2025-12-01,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Chintpurni Steel Private Limited,Chintpurni Steels Pvt. Ltd.,CHINTPURNI STEEL,CHINTPURNI STEELS,96.96969696969697,HIGH,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-10-17,MEDIUM,Steel & Metals,CRISIL,Bank Guarantee,A 2,2026-02-05,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
CIEL HR Services Private Limited,Ciel H R Services Ltd.,CIEL HR SERVICES,CIEL H R SERVICES,96.96969696969697,HIGH,Long Term/ Short Term Bank Facility - OD,Withdrawn,2023-11-21,HIGH,Other/Unknown,ICRA,Bank Guarantee,A 3,2026-04-27,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
Andhra Pradesh Power Generation Corporation Limited,Andhra Pradesh Power Generation Corpn. Ltd.,ANDHRA PRADESH POWER GENERATION,ANDHRA PRADESH POWER GENERATION N,96.875,HIGH,Long term Bank Facilities,IVR C (Reaffirmed),2025-12-18,LOW,Infrastructure,BRICKWORK,Non-fund based working capital limit,A 4,2025-07-21,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Laxmi Dia Jewels Private Limited,Laxmi Dia Jewel Pvt. Ltd.,LAXMI DIA JEWELS,LAXMI DIA JEWEL,96.7741935483871,HIGH,Long Term Bank Facilities,IVR BB- (INC)(Downgraded),2025-01-02,HIGH,Other/Unknown,CRISIL,Bank Guarantee,A 4,2026-02-26,LOW,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Aravind Ceramic Industries Limited,Aravind Ceramics Pvt. Ltd.,ARAVIND CERAMIC,ARAVIND CERAMICS,96.7741935483871,HIGH,Long Term Facilities,IVR BB (Assigned),2025-09-19,MEDIUM,Other/Unknown,IND-RA,Term loans,BB+,2025-05-28,HIGH,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Eloquent Steels Private Limited,Eloquent Steel Pvt. Ltd.,ELOQUENT STEELS,ELOQUENT STEEL,96.55172413793103,HIGH,Long term Bank Facilities,IVR BB (CE) Under Issuer Not Cooperating Category (Reaffirmed and Withdrawn),2022-07-27,HIGH,Steel & Metals,CRISIL,Bank Guarantee,A 2,2025-09-17,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Modern India Con-Cast Limited,Modern India Concast Ltd.,MODERN  CON-CAST,MODERN  CONCAST,96.55172413793103,HIGH,Long term Bank Facilities (Proposed),Withdrawn,2022-12-26,HIGH,Steel & Metals,CRISIL,Term loans,BBB+,2026-04-01,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Lands Mill Agro Private Limited,Landsmill Agro Pvt. Ltd.,LANDS MILL AGRO,LANDSMILL AGRO,96.55172413793103,HIGH,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-08-08,MEDIUM,Agro/Food,ACUITE,Long term Loans,BBB+,2026-04-09,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Bodal Chemical Limited,Bodal Chemicals Ltd.,BODAL CHEMICAL,BODAL CHEMICALS,96.55172413793103,HIGH,Proposed - Commercial Paper (CP),IVR A2+ (Assigned),2025-12-09,MEDIUM,Chemicals,IND-RA,Non-fund based working capital limit,A 2,2026-02-24,LOW,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Rajda Industries & Exports Private Limited,Rajda Industries & Export Pvt. Ltd.,RAJDA  & EXPORTS,RAJDA  & EXPORT,96.55172413793103,HIGH,Long Term Bank Facilities,Withdrawn,2025-08-06,MEDIUM,Infrastructure,BRICKWORK,Term loans,C,2026-02-04,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Mittal Pigments Private Limited,Mittal Pigment Pvt. Ltd.,MITTAL PIGMENTS,MITTAL PIGMENT,96.55172413793103,HIGH,Short Term Bank Facilities,IVR A1 (Upgraded),2025-01-27,HIGH,Other/Unknown,BRICKWORK,Letter Of credit,A 4,2026-01-08,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
R. S. Development & Constructions India Private Limited,R S Development & Constructions India Pvt. Ltd.,R. S. DEVELOPMENT NSTRUCTIONS,R S DEVELOPMENT NSTRUCTIONS,96.42857142857143,HIGH,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-09-26,MEDIUM,Construction,BRICKWORK,Fund based financial facility/instrument,B+,2026-01-22,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
GP Petroleums Ltd,G P Petroleums Ltd.,GP PETROLEUMS,G P PETROLEUMS,96.2962962962963,HIGH,Long/Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Reaffirmed and withdrawn),2023-03-28,HIGH,Other/Unknown,IND-RA,Non-government debt,BBB-/A3,2025-05-07,HIGH,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Martco Exports Private Limited,Martco Export Pvt. Ltd.,MARTCO EXPORTS,MARTCO EXPORT,96.2962962962963,HIGH,Short Term Bank Facilities,IVR A4+ (Assigned),2025-07-30,MEDIUM,Infrastructure,ICRA,Fund based financial facility/instrument,BB-,2025-08-12,MEDIUM,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
T. K. Engineering Consortium Private Limited,T K Engineering Consortium Pvt. Ltd.,T. K. ENGINEERING CONSORTIUM,T K ENGINEERING CONSORTIUM,96.2962962962963,HIGH,Short Term Bank Facilities,IVR D (INC) (Reaffirmed),2026-01-19,LOW,Other/Unknown,BRICKWORK,Non-fund-based financial facility/instrument,D,2025-11-20,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
Saptam Decor Private Limited,Saptam Decore Pvt. Ltd.,SAPTAM DECOR,SAPTAM DECORE,96.0,HIGH,Long Term/ Short Term Facilities - Proposed,IVR BB/IVR A4; (Assigned),2024-12-24,HIGH,Other/Unknown,CARE,Term loans,BB,2025-12-23,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
AP Securitas Private Limited,A P Securitas Pvt. Ltd.,AP SECURITAS,A P SECURITAS,96.0,HIGH,Short Term Bank Facilities - Bank Guarantee,IVR A3+ (Reaffirmed and withdrawn),2022-11-09,HIGH,Other/Unknown,CARE,Non-government debt,A+/A1+,2026-03-18,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Castor Girnar Industries Private Limited,Castorgirnar Industries Pvt. Ltd.,CASTOR GIRNAR,CASTORGIRNAR,96.0,HIGH,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-12-10,MEDIUM,Steel & Metals,CRISIL,Term loans,BBB,2025-05-30,HIGH,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Lifeline Multi Ventures Private Limited,Lifeline Multi-Ventures Pvt. Ltd.,LIFELINE MULTI VENTURES,LIFELINE MULTI-VENTURES,95.65217391304348,HIGH,Long Term Bank Facilities - Term Loans,IVR BB+ (INC)(Downgraded),2025-04-04,HIGH,Other/Unknown,CARE,Term loans,BBB-,2025-07-07,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Generic Engineering Construction and Projects Limited,Generic Engineering Construction & Projects Ltd.,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS,GENERIC ENGINEERING CONSTRUCTION & PROJECTS,95.45454545454545,HIGH,Proposed Short Term Bank Facilities,IVR A3 (Upgraded),2026-02-05,LOW,Construction,CRISIL,Letter Of credit,A 4+,2025-09-05,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Lords Mark Industries Limited,Lord'S Mark Industries Ltd.,LORDS MARK,LORD'S MARK,95.23809523809523,HIGH,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-05-20,HIGH,Other/Unknown,CARE,Fund based financial facility/instrument,BB,2026-05-04,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Nachiar Spinning Mills Private Limited,Nahar Spinning Mills Ltd.,NACHIAR SPINNING MILLS,NAHAR SPINNING MILLS,95.23809523809523,HIGH,Long Term Facilities,IVR BB- (Assigned),2025-02-06,HIGH,Textiles,CRISIL,Letter Of credit,A 1,2025-08-26,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
G. G. Automotive Gears Limited,G G Automotive Gears Ltd.,G. G. AUTOMOTIVE GEARS,G G AUTOMOTIVE GEARS,95.23809523809523,HIGH,Short Term Non- Fund Based Bank Facility,IVR A4+ (Reaffirmed and Withdrawn),2024-01-29,HIGH,Other/Unknown,CRISIL,Term loans,BBB,2026-02-13,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Amba Shakti Industries Limited,Ambashakti Industries Ltd.,AMBA SHAKTI,AMBASHAKTI,95.23809523809523,HIGH,Short Term Bank Facilities,IVR A2+ (Upgraded),2025-10-14,MEDIUM,Other/Unknown,CRISIL,Letter Of credit,A 2,2025-12-15,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Shri Prabhulingeshwar Sugars and Chemicals Limited,Shri Prabhulingeshwar Sugars & Chemicals Ltd.,SHRI PRABHULINGESHWAR SUGARS AND CHEMICALS,SHRI PRABHULINGESHWAR SUGARS & CHEMICALS,95.1219512195122,HIGH,Long Term/ Short Term Bank Facilities,IVR BB-/IVR A4; (INC)(Withdrawn),2026-01-29,LOW,Agro/Food,ACUITE,Term loans,BB+,2026-03-12,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Satish Injecto Plast Private Limited,Satish Injecto-Plast Ltd.,SATISH INJECTO PLAST,SATISH INJECTO-PLAST,95.0,HIGH,Long Term Bank Facilities,Withdrawn,2023-08-28,HIGH,Other/Unknown,CRISIL,Term loans,BBB-,2026-01-28,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
OP Gupta Contractor Private Limited,O P Gupta Contractors Pvt. Ltd.,OP GUPTA CONTRACTOR,O P GUPTA CONTRACTORS,95.0,HIGH,Short Term Bank Facility,IVR A4 (INC) (Reaffirmed),2025-12-02,MEDIUM,Other/Unknown,CRISIL,Fund based financial facility/instrument,A 4+,2026-01-15,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Sai Sanket Enterprises,Saisanket Industries Pvt. Ltd.,SAI SANKET,SAISANKET,94.73684210526316,HIGH,Short Term Facilities,IVR A4 (INC)(Reaffirmed),2025-08-07,MEDIUM,Other/Unknown,BRICKWORK,Bank Guarantee,A 3,2026-04-09,LOW,N,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
GK Energy Limited,G K Energy Ltd.,GK ENERGY,G K ENERGY,94.73684210526316,HIGH,Long Term Bank Facilities,IVR BBB+ (Upgraded),2025-12-12,MEDIUM,Infrastructure,CARE,Bank Guarantee,A 2,2026-02-05,LOW,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Airvision India Private Limited,Air Vision India Pvt. Ltd.,AIRVISION,AIR VISION,94.73684210526316,HIGH,Short Term Bank Facilities,IVR A4+ (Assigned),2026-01-05,LOW,Other/Unknown,ICRA,Term loans,B,2025-10-17,MEDIUM,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
West Bengal State Electricity Distribution Company Limited,West Bengal State Electricity Distribution Co. Ltd.,WEST BENGAL STATE ELECTRICITY DISTRIBUTION COMPANY,WEST BENGAL STATE ELECTRICITY DISTRIBUTION CO,94.73684210526316,HIGH,Secured Redeemable Bond Issue - Series II,IVR BBB-,2025-06-02,HIGH,Infrastructure,ACUITE,Letter Of credit,A 2+,2025-05-14,HIGH,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Lloyds Engineering Corporation Private Limited,Lloyds Engineering Corpn. Pvt. Ltd.,LLOYDS ENGINEERING,LLOYDS ENGINEERING N,94.73684210526316,HIGH,Short Term Bank Facilities,IVR A4+ (Assigned),2025-03-20,HIGH,Other/Unknown,CARE,Bank Guarantee,A 4,2026-02-04,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Navachetana Microfinance Services Private Limited,Navachetana Microfin Services Pvt. Ltd.,NAVACHETANA MICRO SERVICES,NAVACHETANA MICROFIN SERVICES,94.54545454545455,HIGH,Long Term Bank Facilities - Term Loans,IVR D (INC)(Downgraded),2025-06-04,HIGH,BFSI,ACUITE,Long term Loans,C,2025-05-15,HIGH,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Begorra Infrastructure And Developers Private Limited,Begorra Infrastructure & Developers Pvt. Ltd.,BEGORRA INFRASTRUCTURE AND DEVELOPERS,BEGORRA INFRASTRUCTURE & DEVELOPERS,94.44444444444444,HIGH,Proposed Short Term Bank Facilities - Bank Guarantee,IVR A3 (Assigned),2025-01-24,HIGH,Infrastructure,BRICKWORK,Bank Guarantee,A 4,2026-03-16,LOW,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
C K Constructions India Private Limited,K M C Constructions Ltd.,C K CONSTRUCTIONS,K M C CONSTRUCTIONS,94.44444444444444,HIGH,Short Term Bank Facilities,IVR A4 (INC)(Reaffirmed),2025-03-28,HIGH,Construction,ICRA,Non-fund-based financial facility/instrument,B+,2026-01-19,LOW,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
C K Constructions,K M C Constructions Ltd.,C K CONSTRUCTIONS,K M C CONSTRUCTIONS,94.44444444444444,HIGH,Long Term Bank Facilities,IVR BB (Reaffirmed),2025-03-28,HIGH,Construction,ICRA,Non-fund-based financial facility/instrument,B+,2026-01-19,LOW,Y,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
V. L. Infraprojects Limited,V L Infraprojects Ltd.,V. L. INFRAPROJECTS,V L INFRAPROJECTS,94.44444444444444,HIGH,Short Term Bank Facility,IVR A4+ (INC)(Downgraded),2025-08-20,MEDIUM,Infrastructure,CRISIL,Bank Guarantee,A 3,2025-06-30,MEDIUM,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
K S D Construction,R K D Construction Pvt. Ltd.,K S D CONSTRUCTION,R K D CONSTRUCTION,94.44444444444444,HIGH,Long Term Bank Facilities,IVR B- (INC) (Downgraded),2025-12-02,MEDIUM,Construction,CRISIL,Bank Guarantee,A 1,2026-03-16,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Bhagaban Mohapatra Construction and Engineers Private Limited,Bhagaban Mohapatra Constructions & Engineers Pvt. Ltd.,BHAGABAN MOHAPATRA CONSTRUCTION AND ENGINEERS,BHAGABAN MOHAPATRA CONSTRUCTIONS & ENGINEERS,94.3820224719101,HIGH,Long Term Bank Facilities,Withdrawn,2023-11-24,HIGH,Construction,IND-RA,Term loans,D,2025-11-24,MEDIUM,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Sterling and Wilson Renewable Energy Limited,Sterling & Wilson Renewable Energy Ltd.,STERLING AND WILSON RENEWABLE ENERGY,STERLING & WILSON RENEWABLE ENERGY,94.28571428571428,HIGH,Short Term Bank Facilities,IVR A2 (Reaffirmed),2025-12-17,LOW,Infrastructure,ACUITE,Term loans,BBB,2025-07-31,MEDIUM,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
GLD Infraprojects Private Limited,Gls Infraprojects Pvt. Ltd.,GLD INFRAPROJECTS,GLS INFRAPROJECTS,94.11764705882352,HIGH,Long Term Bank Facilities,IVR BBB (Assigned),2024-12-26,HIGH,Infrastructure,CRISIL,Bank Guarantee,A 4+,2025-05-22,HIGH,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
AB Udyog Private Limited,A B Udyog Pvt. Ltd.,AB UDYOG,A B UDYOG,94.11764705882352,HIGH,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-09-08,MEDIUM,Other/Unknown,CARE,Term loans,B+,2026-02-19,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
RPS Infraprojects Private Limited,R S Infraprojects Pvt. Ltd.,RPS INFRAPROJECTS,R S INFRAPROJECTS,94.11764705882352,HIGH,Long Term Bank Facility,IVR BB (INC)(Downgraded),2025-09-04,MEDIUM,Infrastructure,IND-RA,Non-government debt,A/A1,2026-01-12,LOW,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Shetrunjay Dyeing and Weaving Mills Limited,Shetrunjay Dyeing & Weaving Mills Ltd.,SHETRUNJAY DYEING AND WEAVING MILLS,SHETRUNJAY DYEING & WEAVING MILLS,94.11764705882352,HIGH,Long Term Bank Facilities,IVR BB+ (Reaffirmed),2025-11-10,MEDIUM,Textiles,ACUITE,Long term Loans,BB-,2025-09-29,MEDIUM,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Kerala Financial Corporation,Kerala Financial Corpn.,KERALA FINANCIAL,KERALA FINANCIAL N,94.11764705882352,HIGH,Fund based Bank Facilities â€“ Term Loan,IVR AA (Assigned),2025-12-08,MEDIUM,BFSI,ACUITE,Long term Loans,A+,2026-03-09,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Eastern Power Distribution Company of Andhra Pradesh Limited,Eastern Power Distribution Co. Of Andhra Pradesh Ltd.,EASTERN POWER DISTRIBUTION COMPANY OF ANDHRA PRADESH,EASTERN POWER DISTRIBUTION CO. OF ANDHRA PRADESH,94.0,HIGH,Long Term Bank Facilities,IVR B (Upgraded),2025-11-19,MEDIUM,Infrastructure,CRISIL,Letter Of credit,A 4,2025-06-13,MEDIUM,Y,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
K K P Weaving and Processing Mills Private Limited,K K P Weaving & Processing Mills Pvt. Ltd.,K K P WEAVING AND PROCESSING MILLS,K K P WEAVING & PROCESSING MILLS,93.93939393939394,HIGH,Long Term Bank Facilities,IVR BBB (Reaffirmed),2025-09-24,MEDIUM,Textiles,BRICKWORK,Fund based financial facility/instrument,BB-,2025-06-17,MEDIUM,Y,Appears in both Infomerics AND BRICKWORK data. Rated by multiple agencies — prime target for ACER.
AAA Vehicleades Private Limited,A A A Vehicleades Pvt. Ltd.,AAA VEHICLEADES,A A A VEHICLEADES,93.75,HIGH,Long Term Bank Facilities,IVR BBB (Assigned),2025-09-25,MEDIUM,Other/Unknown,CARE,Bank Guarantee,D,2026-01-21,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Shraddha Energy And Infraprojects Private Limited,Shraddha Energy & Infraprojects Pvt. Ltd.,SHRADDHA ENERGY AND INFRAPROJECTS,SHRADDHA ENERGY & INFRAPROJECTS,93.75,HIGH,Long Term Bank Facilities,IVR BB (Reaffirmed)(Withdrawn),2025-06-18,MEDIUM,Infrastructure,ACUITE,Long term Loans,BBB,2026-02-06,LOW,N,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Bindal Stainless Limited,Jindal Stainless Ltd.,BINDAL STAINLESS,JINDAL STAINLESS,93.75,HIGH,Short Term Bank Facilities,IVR A3+ (Assigned),2026-01-20,LOW,Other/Unknown,CRISIL,Term loans,AA,2026-03-20,LOW,N,Appears in both Infomerics AND CRISIL data. Rated by multiple agencies — prime target for ACER.
Cybercity Builders and Developers Private Limited,Cybercity Builders & Developers Pvt. Ltd.,CYBERCITY BUILDERS AND DEVELOPERS,CYBERCITY BUILDERS & DEVELOPERS,93.75,HIGH,Long Term Bank Facilities (including proposed limit of Rs.436.89 crore),IVR BBB- (Upgraded),2025-05-08,HIGH,Construction,IND-RA,Term loans,B,2026-04-02,LOW,Y,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Gurudeo Exports Corporation Private Limited,Gurudeo Exports Corpn. Pvt. Ltd.,GURUDEO EXPORTS,GURUDEO EXPORTS N,93.75,HIGH,Long Term Facilities-GECL-Ext,IVR BB (Reaffirmed),2025-01-13,HIGH,Infrastructure,ACUITE,Letter Of credit,A 4+,2026-02-17,LOW,Y,Appears in both Infomerics AND ACUITE data. Rated by multiple agencies — prime target for ACER.
Jai Gopal International Impex Private Limited,Jai Gopal Intl. Impex Pvt. Ltd.,JAI GOPAL  IMPEX,JAI GOPAL . IMPEX,93.75,HIGH,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-09-09,MEDIUM,Other/Unknown,CARE,Non-government debt,A 4,2025-08-08,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
MKC Poanta-Saheb Dehradun Kedarnathji Highways Private Limited,M K C Poanta-Saheb Dehradun Kedarnathji Highways Pvt. Ltd.,MKC POANTA-SAHEB DEHRADUN KEDARNATHJI HIGHWAYS,M K C POANTA-SAHEB DEHRADUN KEDARNATHJI HIGHWAYS,93.61702127659575,HIGH,Long Term Bank Facilities,IVR A (Assigned),2025-12-31,LOW,Infrastructure,IND-RA,Term loans,A-,2026-03-19,LOW,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Metcon India Realty and Infrastructure Private Limited,Metcon India Realty & Infrastructure Pvt. Ltd.,METCON  REALTY AND INFRASTRUCTURE,METCON  REALTY & INFRASTRUCTURE,93.5483870967742,HIGH,Short Term Non-Fund Based Bank Facilities,IVR A4 (Reaffirmed),2025-02-20,HIGH,Infrastructure,CARE,Non-government debt,B-/A4,2025-08-05,MEDIUM,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Insight Media City India Private Limited(IMC),Insight Media City (India) Pvt. Ltd.,INSIGHT MEDIA CITY  (IMC),INSIGHT MEDIA CITY (),93.33333333333333,HIGH,Long Term Facilities,IVR BBB- (Upgraded),2025-03-13,HIGH,Other/Unknown,CARE,Term loans,D,2026-03-02,LOW,Y,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Jai Ambey Emergency Services Private Limited,Jai Ambey Emergency Services (I) Pvt. Ltd.,JAI AMBEY EMERGENCY SERVICES,JAI AMBEY EMERGENCY SERVICES (I),93.33333333333333,HIGH,Short Term Bank Facilities,IVR A3 (Reaffirmed),2025-09-05,MEDIUM,Other/Unknown,IND-RA,Non-fund based working capital limit,A 3,2025-07-15,MEDIUM,N,Appears in both Infomerics AND IND-RA data. Rated by multiple agencies — prime target for ACER.
Choice Trading Corporation Private Limited,Choice Trading Corpn. Pvt. Ltd.,CHOICE TRADING,CHOICE TRADING N,93.33333333333333,HIGH,Short Term Non Fund Based Bank Facility - Forward Contract,IVR A4+ (INC)(Reaffirmed and Withdrawn),2023-05-26,HIGH,Trading,CARE,Non-government debt,BBB/A3+,2025-11-21,MEDIUM,N,Appears in both Infomerics AND CARE data. Rated by multiple agencies — prime target for ACER.
Raghava Constructions India Private Limited,Raghava Constructions (India) Pvt. Ltd.,RAGHAVA CONSTRUCTIONS,RAGHAVA CONSTRUCTIONS (),93.33333333333333,HIGH,Long Term / Short Term Bank Facilities,IVR B/ IVR A4; (INC) (Downgraded/ Reaffirmed),2025-10-16,MEDIUM,Construction,ICRA,Non-government debt,BBB/A3+,2026-03-18,LOW,N,Appears in both Infomerics AND ICRA data. Rated by multiple agencies — prime target for ACER.
