Company Name,Agency,Instrument Type,Rating,Rating Date,Amount Cr,Sector,Current Urgency,Pipeline_Window,Call_Window,NCD_Linked,Captured_In_Aug_RM_Plan,Why_Target_Note,Recommended_Action,Trigger
Grameen Shakti Microfinance Services Pvt. Ltd.,ACUITE,Term Loan,BB-,09-Apr-2026,33.75,BFSI,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Panesar Steel & Power Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),29-Jan-2026,33.63,Steel & Metals,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Prabodh Steel Private Limited,Infomerics,Long Term Bank Facilities,IVR B (INC) (Downgraded),02-Feb-2026,33.52,Steel & Metals,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Asiatic Colour-Chem Industries Private Limited,Infomerics,Long Term/ Short Term Facilities,IVR BB-/IVR A4; (INC)(Withdrawn),16-Jan-2026,33.0,Chemicals & Pharma,LOW,October 2026 + Q1 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Bagkiya Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4+,25-Nov-2025,33.0,Construction,MEDIUM,October 2026 + Q1 2027,Nov Wk4 (Nov 22-30),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Claystone Granito Pvt. Ltd.,ICRA,Term Loan,B+,13-Feb-2026,33.0,Construction,LOW,October 2026 + Q2 2027,Nov Wk2 (Nov 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Krushi Infras India Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,15-Apr-2026,33.0,Construction,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Kushal Timber Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,08-Apr-2026,33.0,Other,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Sri Satyanarayana Raw And Boiled Rice Mill Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-02,33.0,Agro & Food,HOT,October 2026 + Q1 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Sri Venkata Umasankar Spintex Pvt. Ltd.,ICRA,Term loans,D,2026-04-27,33.0,Other,LOW (<90 days),October 2026 + Q2 2027,HOT by Jan 2027,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Sunny Infraprojects Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC)(Downgraded),03-Feb-2026,33.0,Construction,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Shri Mahesh Co-operative Spinning Mills Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),06-Feb-2026,32.85,Textiles,LOW,October 2026 + Q1 2027,Nov Wk1 (Nov 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
D P Jain Dariapur-Jasondhi (Annuity) Road Projects Pvt. Ltd.,CARE,Term Loan,BB+,15-Apr-2026,32.52,Construction,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Begorra Infrastructure & Developers Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2026-03-16,32.5,Construction,LOW/MEDIUM,October 2026 + Q1 2027,Dec 2026 – Jan 2027,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
S N S Infracon Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,09-Apr-2026,32.5,Construction,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Surana Telecom & Power Ltd.,CARE,Term Loan,BB-,07-Apr-2026,32.21,Energy,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Rockdrill Projects Pvt. Ltd.,CARE,Bank Guarantee,A 4,22-Apr-2026,32.0,Construction,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Rohan Dyes & Intermediates Ltd.,ACUITE,Term Loan,C,24-Apr-2026,32.0,Chemicals & Pharma,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Tirubala International Private Limited,Infomerics,Long Term/ Short Term Bank Facilities,IVR BB/IVR A4; (INC)(Downgraded),27-Jan-2026,32.0,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Vinsum Axpress India Private Limited,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),29-Jan-2026,32.0,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
HR Ispat Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),29-Jan-2026,31.78,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Alchemist Hospitals Ltd.,CARE,Term Loan,B,08-Apr-2026,31.6,Chemicals & Pharma,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Fores Elastomech India Pvt. Ltd.,CRISIL,Term Loan,B,16-Apr-2026,31.5,Other,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Borkar Packaging Pvt. Ltd.,CRISIL,Letter of Credit,A 4,21-Apr-2026,30.8,Paper/Packaging,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Paragon Apparel Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),09-Feb-2026,30.42,Textiles,LOW,October 2026 + Q1 2027,Nov Wk1 (Nov 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Anil Trading India Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),21-Jan-2026,30.0,Trading/Exports,LOW,October 2026 + Q1 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Earth Minerals Co. Ltd.,ACUITE,Bank Guarantee,A 4+,23-Apr-2026,30.0,Mining & Minerals,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
K P Manish Global Ingredients Pvt. Ltd.,IND-RA,Non-Fund-Based,A 4+,21-Jan-2026,30.0,Other,LOW,October 2026 + Q1 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Pasari Multiprojects Pvt. Ltd.,BRICKWORK,Term Loan,C,08-Apr-2026,30.0,Construction,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Rajinder Infrastructure Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,17-Feb-2026,30.0,Construction,LOW,October 2026 + Q2 2027,Nov Wk2 (Nov 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Subray Catal Chem Pvt. Ltd.,CRISIL,Letter of Credit,A 4,28-Apr-2026,30.0,Chemicals & Pharma,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Tranter India Pvt. Ltd.,CRISIL,Letter of Credit,A 4+,30-Apr-2026,30.0,Other,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Ajara Health Care & Research Centre Pvt. Ltd.,IND-RA,Term Loan,B-,24-Nov-2025,29.3,Healthcare,MEDIUM,October 2026 + Q1 2027,Nov Wk4 (Nov 22-30),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Marbaniang Projects Pvt. Ltd.,BRICKWORK,Term Loan,C,08-Apr-2026,29.21,Construction,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Sree Durga Fibre Products Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC) (Downgraded),12-Jan-2026,29.17,Textiles,LOW,October 2026 + Q1 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Bagga Link Motors Ltd.,ICRA,Fund-Based,A 4,24-Apr-2026,29.1,Automobiles,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
D T L Ancillaries Ltd.,CRISIL,Letter of Credit,A 4,28-Apr-2026,29.0,Automobiles,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Kropex Auto Pvt. Ltd.,CRISIL,Fund-Based,A 4,09-Apr-2026,29.0,Automobiles,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Value Added Fashion Fabrics Private Limited,Infomerics,Long Term Facilities,IVR BB- (INC)(Downgraded),03-Feb-2026,28.13,Textiles,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Anil Buildcon India Private Limited,Infomerics,Long Term /Short Term Bank Facility,IVR B+/IVR A4; (INC)(Downgraded),09-Feb-2026,28.0,Construction,LOW,October 2026 + Q1 2027,Nov Wk1 (Nov 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Piccadily Holiday Resorts Ltd.,ICRA,Term Loan,B+,29-Apr-2026,28.0,Hotels & Tourism,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Shri Mahavir Iron & Steel Pvt. Ltd.,CARE,Term Loan,BB-,27-Apr-2026,28.0,Steel & Metals,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Slidewell Meilleur-Tech Pvt. Ltd.,CRISIL,Term Loan,B,09-Apr-2026,27.83,IT/Technology,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Novagen Healthcare Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,27.7,Healthcare,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Nimbus Motors Pvt. Ltd.,CARE,Fund-Based,C,23-Apr-2026,27.5,Automobiles,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Samrakshana Electricals Ltd.,CRISIL,Term Loan,B-,10-Apr-2026,27.12,Energy,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Metaguard Engineers and Contractors,Infomerics,Long Term Bank Facilities,IVR B+ (INC) (Downgraded),04-Feb-2026,26.97,Manufacturing,LOW,October 2026 + Q1 2027,Nov Wk1 (Nov 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Jet Granito Pvt. Ltd.,CRISIL,Term Loan,B,30-Jan-2026,26.5,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Super Screws Pvt. Ltd.,CRISIL,Term Loan,B,09-Apr-2026,26.5,Other,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Claris Ltd.,ACUITE,Term loans,D,2026-04-08,26.29,Other,LOW (<90 days),October 2026 + Q2 2027,HOT by Jan 2027,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Marino Food Products Pvt. Ltd.,ACUITE,Long term Loans,D,2026-04-10,26.0,Agro & Food,LOW (<90 days),October 2026 + Q2 2027,HOT by Jan 2027,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Metal Crafts Constructors Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,27-Apr-2026,26.0,Steel & Metals,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Power Engineering (India) Private Limited,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Downgraded),16-Jan-2026,25.45,Manufacturing,LOW,October 2026 + Q1 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Shree Hari Agro Industries Limited,Infomerics,Long Term Facilities,IVR B+ (INC) (Downgraded),10-Feb-2026,25.32,Agro & Food,LOW,October 2026 + Q1 2027,Nov Wk1 (Nov 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Viyan Tex Industries LLP,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),28-Jan-2026,25.3,Manufacturing,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Rolex Processors Pvt. Ltd.,CARE,Term Loan,B-,15-Apr-2026,25.17,Other,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Affluence Commodities Pvt. Ltd.,CARE,Bank Guarantee,A 4,2026-03-11,25.0,Other,LOW/MEDIUM,October 2026 + Q1 2027 + Q2 2027,Dec 2026 – Jan 2027,False,True,Appears in 3 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Amar Jewellers Pvt. Ltd.,CRISIL,Term Loan,B,21-Apr-2026,25.0,Jewellery/Gems,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Bharat Engineering Construction Co. Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,25-Feb-2026,25.0,Construction,LOW,October 2026 + Q2 2027,Nov Wk4 (Nov 22-30),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
E C Blades & Tools Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,28-Apr-2026,25.0,Other,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Ishwar Ispat Inds. Pvt. Ltd.,CARE,Term Loan,B,17-Apr-2026,25.0,Other,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
J R D International Ltd.,CRISIL,Fund-Based,B-,30-Jan-2026,25.0,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Jaipur Jewels Global Ltd.,ACUITE,Bank Guarantee,A 4,2025-12-24,25.0,Jewellery,HOT,Q1 2027 + Q2 2027,Sep–Oct 2026 — Call 3 months ahead,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Mittal International,Infomerics,Short Term Bank Facilities,IVR A4 (INC) (Reaffirmed),02-Feb-2026,25.0,Other,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Nasim Ahsan Construction Pvt. Ltd.,CARE,Bank Guarantee,B-,13-Apr-2026,25.0,Construction,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Pristine Commercials Private Limited,Infomerics,Long/ Short Term Bank Facilities,IVR BBB-/IVR A3; (INC) (Downgraded),29-Jan-2026,25.0,Steel & Metals,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
S S S Hi-Tech Constructions Pvt. Ltd.,ACUITE,Bank Guarantee,A 4,03-Feb-2026,25.0,Construction,LOW,October 2026 + Q1 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Strongbuilt Constructions Pvt. Ltd.,ACUITE,Term Loan,A 4+,13-Apr-2026,25.0,Construction,LOW,October 2026 + Q2 2027,Oct Wk2 (Oct 8-14),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Durgapur Iron & Steel Co. Pvt. Ltd.,CRISIL,Fund-Based,B,23-Feb-2026,24.7,Steel & Metals,LOW,October 2026 + Q1 2027,Nov Wk3 (Nov 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Popular Wheelers (India) Pvt. Ltd.,CRISIL,Fund-Based,B,09-Apr-2026,24.5,Other,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Phenix Spinning Pvt. Ltd.,BRICKWORK,Term Loan,B-,2026-03-16,24.39,Textiles,LOW/MEDIUM,October 2026 + Q1 2027,Dec 2026 – Jan 2027,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Hayat Hospital Pvt. Ltd.,BRICKWORK,Term loans,C,2026-04-01,24.32,Healthcare,LOW (<90 days),Q1 2027 + Q2 2027,HOT by Jan 2027,False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Sri Balambika Textile Mills Pvt. Ltd.,CARE,Term Loan,B-,05-Nov-2025,24.3,Textiles,MEDIUM,October 2026 + Q1 2027,Nov Wk1 (Nov 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Sumeet Facilities Ltd.,BRICKWORK,Bank Guarantee,A 4,08-Apr-2026,24.24,Other,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Indicon Construction Pvt. Ltd.,IND-RA,Term Loan,B+,09-Jan-2026,24.15,Construction,LOW,October 2026 + Q1 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Alpha Milkfoods Pvt. Ltd.,ICRA,Term Loan,B+,27-Apr-2026,24.0,Agro & Food,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Shakti Hormann Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,22-Apr-2026,24.0,Other,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Super Hoze Inds. Pvt. Ltd.,CRISIL,Term Loan,B,09-Apr-2026,24.0,Other,LOW,October 2026 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Venus Industrial Corpn. Pvt. Ltd.,CRISIL,Term Loan,B,10-Apr-2026,24.0,Manufacturing,LOW,October 2026 + Q1 2027 + Q2 2027,Oct Wk1 (Oct 1-7),False,True,Appears in 3 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Indiana Hospital & Heart Institute Ltd.,ICRA,Term Loan,B,29-Apr-2026,23.5,Healthcare,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Krishnaveni Carbon Products Pvt. Ltd.,CRISIL,Term Loan,B,23-Apr-2026,23.25,Automobiles,LOW,October 2026 + Q2 2027,Oct Wk3 (Oct 15-21),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
Peekay Agencies Pvt. Ltd.,CRISIL,Letter of Credit,A 4,30-Apr-2026,23.18,Other,LOW,October 2026 + Q2 2027,Oct Wk4 (Oct 22-31),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
H M Steels Ltd.,ACUITE,Term Loan,C,05-Mar-2026,23.0,Steel & Metals,LOW,October 2026 + Q1 2027,Nov Wk4 (Nov 22-30),False,True,Appears in 2 calling windows — meets Tier 2 (2+ windows) trigger but NOT found in Aug RM deployment plan,Already in Aug RM plan,Multi-Window (2+)
