Company Name,All Raters,Rater Count,Latest Rater,All Instruments,Latest Instrument,Latest Rating,Latest Status,Rating Date,Urgency,Priority Score,INC Flag,Sector,Data Source,Why Target,ACER Pitch Angle,New_Sector
Imperial Merchants Pvt. Ltd.,CARE,1,CARE,Non-government debt,Non-government debt,BB+/A4+,Reaffirmed,2025-10-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
In-Solutions Global Ltd.,ICRA,1,ICRA,Non-government debt | Term loans,Non-government debt,BBB+/A 3+,Upgraded,2025-07-22,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Inchem Laboratories Pvt. Ltd.,ACUITE,1,ACUITE,Letter Of credit | Long term Loans | Term loans,Letter Of credit,A 3,Reaffirmed,2025-09-30,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
Incheon Motors Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit | Term loans,Non-fund based working capital limit,A 4+,Reaffirmed,2025-10-24,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Automobiles/Auto
Indcarb Activated Carbon Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BB,Reaffirmed,2025-08-29,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indev Infra Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Term loans,Term loans,A,Reaffirmed,2025-11-27,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Infrastructure
India Carbon Ltd.,CARE,1,CARE,Fund based financial facility/instrument | Letter Of credit | Non-government debt,Letter Of credit,A 2+,Downgraded,2025-11-12,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
India Cements Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,AAA/A1+,Reaffirmed,2025-09-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
India Circuits Pvt. Ltd.,CARE,1,CARE,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,BB+,Initial Rating,2025-06-24,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
India Exposition Mart Ltd.,CARE,1,CARE,Term loans,Term loans,BBB+,Reaffirmed,2025-10-03,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
India Pesticides Ltd.,CARE,1,CARE,Bank Guarantee | Non-government debt,Non-government debt,A+/A1+,Reaffirmed,2025-10-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
India Thermit Corpn. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Long term Loans,Bank Guarantee,A 2,Downgraded,2025-09-17,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indian Immunologicals Ltd.,CRISIL,1,CRISIL,Letter Of credit | Term loans,Term loans,AA+,Reaffirmed,2025-10-17,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indian Metals & Ferro Alloys Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Term loans,Fund based financial facility/instrument,AA,Upgraded,2025-12-05,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Steel/Metals
Indian Phosphate Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit,Bank Guarantee,A 2,Reaffirmed,2025-12-08,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indianoil Adani Ventures Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 1+,Reaffirmed,2025-08-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indigo Sea Ways Pvt. Ltd.,CARE,1,CARE,Non-fund-based financial facility/instrument | Term loans,Term loans,A(CE),Withdrawn,2025-11-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indiqube Spaces Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,A+,Reaffirmed,2025-11-07,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indo Autotech Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Letter Of credit | Term loans,Fund based financial facility/instrument,A,Upgraded,2025-09-08,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,IT/Software
Indo European Breweries Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,BBB,Reaffirmed,2025-08-29,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Agro/Food
Indo German International Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Non-government debt,Bank Guarantee,A 3,Reaffirmed,2025-09-12,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indo Swiss Chemicals Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,A,Reaffirmed,2025-07-01,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
Indo-Allied Protein Foods Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee,Bank Guarantee,A 3+,Initial Rating,2025-07-01,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Agro/Food
Indoco Remedies Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-government debt,A/A2+,Reaffirmed,2025-09-24,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indore Composite Pvt. Ltd.,ICRA,1,ICRA,Bank Guarantee | Non-fund-based financial facility/instrument | Non-government debt,Non-government debt,A-/A2+,Reaffirmed,2025-09-08,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Mining/Minerals
Indospace A S Indl. Park Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,AAA,Reaffirmed,2025-12-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indospace Park Chakan 1D Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,AAA,Reaffirmed,2025-12-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indu Corporation Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,BBB+,Reaffirmed,2025-11-20,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Inductotherm (India) Pvt. Ltd.,CARE,1,CARE,Non-government debt,Non-government debt,AA/A1+,Reaffirmed,2025-10-03,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indus Intex Pvt. Ltd.,CRISIL,1,CRISIL,Term loans,Term loans,BB,Reaffirmed,2025-09-19,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indus Life Sciences Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 3,Reaffirmed,2025-06-18,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Indus Motors Light Commercial Vehicles Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,BB-,Reaffirmed,2025-06-30,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Automobiles/Auto
Infinite Computer Solutions (India) Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 1+,Initial Rating,2025-10-31,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Infopark Properties Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Bank Guarantee,AA-,Withdrawn,2025-07-29,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Construction
Infopower Technologies Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 4,Reaffirmed,2025-11-18,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,IT/Software
Ingex Botanicals Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,BBB-/A3,Initial Rating,2025-12-05,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Ingram Micro India Pvt. Ltd.,ICRA,1,ICRA,Non-government debt,Non-government debt,AA-/A1+,Reaffirmed,2025-11-27,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Insecticides (India) Ltd.,CRISIL,1,CRISIL,Non-fund-based financial facility/instrument | Term loans,Term loans,A+,Reaffirmed,2025-07-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
Insight Business Machines Pvt. Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,BBB-/A3,Reaffirmed,2025-12-02,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Inspirisys Solutions Ltd.,CARE,1,CARE,Bank Guarantee | Non-government debt,Bank Guarantee,A 3+,Reaffirmed,2025-08-06,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,IT/Software
Integrated Batteries India Pvt. Ltd.,CARE,1,CARE,Letter Of credit | Non-government debt | Term loans,Letter Of credit,A 4+,Upgraded,2025-12-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Integrated Service Point Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,A 3,Reaffirmed,2025-08-05,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Inter Gold (India) Pvt. Ltd.,CARE,1,CARE,Bank Guarantee,Bank Guarantee,A 2+,Reaffirmed,2025-10-08,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
International Aerospace Mfg. Pvt. Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Term loans,Term loans,A,Reaffirmed,2025-09-30,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
International Certification Services Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee,Bank Guarantee,A 4,Reaffirmed,2025-11-26,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
International Conveyors Ltd.,CARE,1,CARE,Fund based financial facility/instrument | Non-government debt,Fund based financial facility/instrument,BBB-,Reaffirmed,2025-09-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
International Loha Bhandar Pvt. Ltd.,CARE,1,CARE,Letter Of credit | Non-government debt,Letter Of credit,A 3,Withdrawn,2025-11-18,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
International Tractors Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt,Non-fund-based financial facility/instrument,A 1+,Reaffirmed,2025-11-28,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Intersea Maritime Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,BB-,Withdrawn,2025-08-25,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Invenire Petrodyne Ltd.,ICRA,1,ICRA,Bank Guarantee | Non-government debt,Bank Guarantee,A-,Reaffirmed,2025-09-16,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Investment & Precision Castings Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,BBB-/A3,Reaffirmed,2025-07-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Steel/Metals
Ionisation Filtration Inds. Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Long term Loans | Term loans,Bank Guarantee,A 4+,Initial Rating,2025-11-17,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Ipca Laboratories Ltd.,IND-RA,1,IND-RA,Long term Loans | Non-government debt,Long term Loans,AA+,Reaffirmed,2025-07-07,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
Ipltech Electric Pvt. Ltd.,IND-RA,1,IND-RA,Non-government debt,Non-government debt,AA-/A1+,Initial Rating,2025-11-07,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Ircon Vadodara Kim Expressway Ltd.,CARE,1,CARE,Term loans,Term loans,AAA,Upgraded,2025-07-31,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Infrastructure
Irelia Sports India Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 1+,Initial Rating,2025-06-16,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Iris Global Services Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Non-government debt,Non-government debt,A-/A2+,Reaffirmed,2025-10-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Iscon Balaji Foods Pvt. Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,A,Reaffirmed,2025-12-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Agro/Food
Isgec Hitachi Zosen Ltd.,ICRA,1,ICRA,Non-government debt,Non-government debt,A/A2+,Upgraded,2025-09-03,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Italia Ceramics Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Term loans,Bank Guarantee,A 3+,Upgraded,2025-09-12,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Ivalue Infosolutions Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 2+,Reaffirmed,2025-08-20,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,IT/Software
J A K Group Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,BBB,Reaffirmed,2025-09-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
J C Flowers Asset Reconstruction Pvt. Ltd.,IND-RA,1,IND-RA,Term loans,Term loans,A+,Upgraded,2025-06-18,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Construction
J D S Transformers Inds. Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Term loans,Bank Guarantee,A 3,Initial Rating,2025-07-21,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
J G Chemicals Ltd.,CRISIL,1,CRISIL,Non-fund-based financial facility/instrument,Non-fund-based financial facility/instrument,A 1,Reaffirmed,2025-11-14,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
J J Polyplast Pvt. Ltd.,BRICKWORK,1,BRICKWORK,Letter Of credit | Term loans,Letter Of credit,D,Withdrawn,2025-12-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
J K Fenner (India) Ltd.,CRISIL,1,CRISIL,Non-fund-based financial facility/instrument | Term loans,Term loans,AA,Upgraded,2025-10-29,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
J M F Synthetics India Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 3+,Reaffirmed,2025-09-22,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
J S W Techno Projects Mgmt. Ltd.,CARE,1,CARE,Non-government debt | Term loans,Non-government debt,AA-/A1+,Upgraded,2025-11-24,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
J T E K T India Ltd.,ICRA,1,ICRA,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt,Fund based financial facility/instrument,AA,Reaffirmed,2025-07-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jabs International Pvt. Ltd.,ICRA,1,ICRA,Non-government debt,Non-government debt,A-/A2+,Reaffirmed,2025-09-29,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jagran Prakashan Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Letter Of credit | Long term Loans,Long term Loans,AA+,Reaffirmed,2025-07-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jai Balaji Inds. Ltd.,CRISIL,1,CRISIL,Non-fund-based financial facility/instrument | Term loans,Non-fund-based financial facility/instrument,A 2,Upgraded,2025-07-31,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jai Balaji Jyoti Steels Ltd.,CARE,1,CARE,Non-government debt,Non-government debt,BB+/A4+,Withdrawn,2025-10-07,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Steel/Metals
Jai Beverages Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans | Term loans,Long term Loans,AA-,Initial Rating,2025-07-29,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Agro/Food
Jai Bharat Gum & Chemicals Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Fund based financial facility/instrument,Fund based financial facility/instrument,A-,Initial Rating,2025-06-18,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
Jai Ravechi Chemicals Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,BBB-,Upgraded,2025-07-25,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Chemicals/Pharma
Jaideep Ispat & Alloys Pvt. Ltd.,ICRA,1,ICRA,Non-fund-based financial facility/instrument | Non-government debt | Term loans,Non-government debt,A+/A1,Reaffirmed,2025-06-17,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Steel/Metals
Jain Amar Clothing Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Term loans,Fund based financial facility/instrument,BBB-,Downgraded,2025-09-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jain Resource Recycling Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 1,Reaffirmed,2025-10-15,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jaina India Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit,Letter Of credit,A 3+,Reaffirmed,2025-09-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jaina Mobile India Pvt. Ltd.,CRISIL,1,CRISIL,Long term Loans,Long term Loans,BBB-,Reaffirmed,2025-09-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jakson Engineers Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Fund based financial facility/instrument,A,Reaffirmed,2025-09-25,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jakson Green Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Non-fund-based financial facility/instrument,Fund based financial facility/instrument,A+,Reaffirmed,2025-08-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jakson Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument | Non-fund-based financial facility/instrument | Non-government debt | Term loans,Fund based financial facility/instrument,AA-,Reaffirmed,2025-09-26,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jaksons Developers Pvt. Ltd.,ACUITE,1,ACUITE,Long term Loans | Term loans,Long term Loans,BBB,Upgraded,2025-07-18,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Construction
Jamshedpur Continuous Annealing & Processing Co. Pvt. Ltd.,CARE,1,CARE,Bank Guarantee | Term loans,Term loans,AA-,Withdrawn,2025-07-08,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jangareddygudem Projects Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,AA-,Upgraded,2025-11-10,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Japfa Comfeed India Pvt. Ltd.,ICRA,1,ICRA,Term loans,Term loans,BBB+,Downgraded,2025-10-23,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Agro/Food
Jaquar & Co. Pvt. Ltd.,IND-RA,1,IND-RA,Non-fund based working capital limit,Non-fund based working capital limit,A 1+,Reaffirmed,2025-08-11,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jasani India Pvt. Ltd.,CRISIL,1,CRISIL,Fund based financial facility/instrument,Fund based financial facility/instrument,A-,Reaffirmed,2025-10-06,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jay Bharat Maruti Ltd.,ICRA,1,ICRA,Non-government debt | Term loans,Non-government debt,A+/A1,Reaffirmed,2025-09-09,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jay Jagdamba Profile Pvt. Ltd.,ACUITE,1,ACUITE,Bank Guarantee | Long term Loans,Long term Loans,A,Upgraded,2025-10-08,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jay Jay Mills (India) Pvt. Ltd.,IND-RA,1,IND-RA,Non-government debt | Term loans,Non-government debt,AA-/A1+,Reaffirmed,2025-12-01,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Agro/Food
Jaya Hind Inds. Pvt. Ltd.,CRISIL,1,CRISIL,Letter Of credit | Term loans,Term loans,AA+,Reaffirmed,2025-07-25,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Other (Unclassified)
Jayabheri Properties Pvt. Ltd.,CARE,1,CARE,Term loans,Term loans,BBB-,Reaffirmed,2025-12-04,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Construction
Jayant Infratech Ltd.,CRISIL,1,CRISIL,Bank Guarantee | Fund based financial facility/instrument,Bank Guarantee,A 4+,Initial Rating,2025-06-27,MEDIUM,2,NO,Other,D365,Approaching renewal (6-12 months),Single-agency dependent — pitch ACER for diversification and negotiating leverage,Infrastructure
