Company Name,BFSI_Sub,Latest Rater,Latest Instrument,Latest Rating,Rating Date,Urgency,Priority Score,INC Flag,All Raters,Rater Count,Why Target,ACER_Pitch_NBFC
Infrastructure Leasing & Financial Services Ltd.,NBFC,CARE,Long term Loans,D,2025-12-26,LOW,4,YES,CARE | ICRA | IND-RA,3,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Kinara Capital Pvt. Ltd.,NBFC,CARE,Term loans,D,2026-03-24,LOW,4,YES,CARE | ICRA | IND-RA,3,INC — issuer not cooperating with current rater | Multi-agency (3 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
R B A Finance Pvt. Ltd.,NBFC,ACUITE,Long term Loans,BBB-,2026-02-19,LOW,4,YES,ACUITE | CRISIL,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Reliance Commercial Finance Ltd.,NBFC,CARE,Debentures / Bonds / notes / bills,D,2026-01-27,LOW,4,YES,BRICKWORK | CARE,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Reliance Home Finance Ltd.,HFC,CARE,Debentures / Bonds / notes / bills,D,2026-02-16,LOW,4,YES,BRICKWORK | CARE,2,INC — issuer not cooperating with current rater | Multi-agency (2 raters) — open to new entrant,[INC] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE. Rating lapse risks your borrowing capacity
Arth Micro Finance Pvt. Ltd.,MFI,ACUITE,Term loans,D,2026-04-01,LOW,3,YES,ACUITE,1,INC — issuer not cooperating with current rater,"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Capital Electricals Pvt. Ltd.,NBFC,CRISIL,Bank Guarantee,A 4,2026-04-24,LOW,3,YES,CRISIL,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Capital Record Centre Pvt. Ltd.,NBFC,CRISIL,Bank Guarantee,A 4,2026-04-09,LOW,3,YES,CRISIL,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Capital Ventures Pvt. Ltd.,NBFC,CARE,Fund based financial facility/instrument,B-,2026-02-12,LOW,3,YES,CARE,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Cox & Kings Financial Service Ltd.,NBFC,BRICKWORK,Non-government debt,D,2026-03-11,LOW,3,YES,BRICKWORK,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Gilada Finance & Invsts. Ltd.,NBFC,ACUITE,Long term Loans,BB-,2026-02-20,LOW,3,YES,ACUITE,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Gokul Finance & Invst. Co. Pvt. Ltd.,NBFC,ACUITE,Long term Loans,B-,2026-04-29,LOW,3,YES,ACUITE,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Karvy Financial Services Ltd.,NBFC,ICRA,Fund based financial facility/instrument,D,2026-03-20,LOW,3,YES,ICRA,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Khush Housing Finance Pvt. Ltd.,HFC,ACUITE,Term loans,BB,2026-04-21,LOW,3,YES,ACUITE,1,INC — issuer not cooperating with current rater,[INC] NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE. Rating lapse risks your borrowing capacity
Need Livelihood Microfinance Pvt. Ltd.,MFI,CARE,Term loans,B-,2026-03-26,LOW,3,YES,CARE,1,INC — issuer not cooperating with current rater,"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
P N Y Sabha Finance Ltd.,NBFC,BRICKWORK,Term loans,B-,2026-03-13,LOW,3,YES,BRICKWORK,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Seajuli Developers & Finance Ltd.,NBFC,CARE,Term loans,D,2026-03-25,LOW,3,YES,CARE,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Shree Naman Securities & Finance Pvt. Ltd.,NBFC,BRICKWORK,Bank Guarantee,A 4,2026-04-03,LOW,3,YES,BRICKWORK,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Swarna Pragati Housing Microfinance Pvt. Ltd.,MFI,CARE,Term loans,B,2026-02-20,LOW,3,YES,CARE,1,INC — issuer not cooperating with current rater,"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Trucap Finance Ltd.,NBFC,CARE,Fund based financial facility/instrument,D,2026-04-02,LOW,3,YES,CARE,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Baba PuranDass Financial Services Limited,NBFC,Infomerics,Proposed Fixed Deposit,IVR C- (INC) (Reaffirmed),2026-02-10,LOW,3,YES,Infomerics,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
Dhansamridhi Finance Private Limited,NBFC,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2026-01-12,LOW,3,YES,Infomerics,1,INC — issuer not cooperating with current rater,"[INC] RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost. Current rater unresponsive — ACER offers named analyst, 15-day turnaround"
IQRA Microfinance Federation,MFI,Infomerics,Long Term Bank Facilities - Proposed Term Loan,IVR C+ (INC)(Downgraded),2026-01-23,LOW,3,YES,Infomerics,1,INC — issuer not cooperating with current rater,"[INC] MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments. Demonstrate governance credibility to lenders"
Aditya Birla Capital Ltd.,NBFC,ICRA,Non-government debt,AAA/A1+,2026-02-09,LOW,2,NO,CRISIL | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aditya Birla Housing Finance Ltd.,HFC,ICRA,Non-government debt,AAA/A1+,2026-02-06,LOW,2,NO,CRISIL | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Aham Housing Finance Ltd.,HFC,CARE,Term loans,BBB,2026-04-08,LOW,2,NO,CARE | CRISIL | IND-RA,3,Multi-agency (3 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Akara Capital Advisors Pvt. Ltd.,NBFC,CARE,Non-government debt,BBB/A3+,2026-04-10,LOW,2,NO,CARE | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Alpha Alternatives Financial Services Pvt. Ltd.,NBFC,CARE,Debentures / Bonds / notes / bills,PP-MLD A-,2026-04-22,LOW,2,NO,ACUITE | CARE,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Amrit Malwa Capital Ltd.,NBFC,CARE,Term loans,BBB,2026-01-08,LOW,2,NO,ACUITE | CARE | CRISIL,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Anand Rathi Global Finance Ltd.,NBFC,CARE,Non-government debt,A-/A1,2026-03-26,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Annapurna Finance Pvt. Ltd.,NBFC,CARE,Long term Loans,A-,2025-12-26,LOW,2,NO,CARE | CRISIL | ICRA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aptus Finance India Pvt. Ltd.,NBFC,CARE,Fund based financial facility/instrument,AA,2026-04-08,LOW,2,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Arohan Financial Services Ltd.,NBFC,ICRA,Fund based financial facility/instrument,A,2026-04-01,LOW,2,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Aryadhan Financial Solutions Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB+,2026-04-20,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Asirvad Micro Finance Ltd.,MFI,CARE,Fund based financial facility/instrument,AA-,2026-01-12,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,"MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments"
Avanse Financial Services Ltd.,NBFC,IND-RA,Term loans,AA,2026-02-25,LOW,2,NO,CARE | CRISIL | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Bajaj Auto Credit Ltd.,NBFC,CARE,Term loans,AAA,2026-04-06,LOW,2,NO,CARE | CRISIL | ICRA | IND-RA,4,Multi-agency (4 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Bajaj Finance Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,AAA,2026-04-28,LOW,2,NO,CARE | CRISIL | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Bajaj Housing Finance Ltd.,HFC,IND-RA,Non-government debt,AAA/A1+,2026-01-20,LOW,2,NO,CRISIL | IND-RA,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Branch International Financial Services Pvt. Ltd.,NBFC,CRISIL,Long term Loans,BBB,2026-02-17,LOW,2,NO,ACUITE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Capfloat Financial Services Pvt. Ltd.,NBFC,IND-RA,Term loans,AAA,2026-03-12,LOW,2,NO,CRISIL | IND-RA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Capri Global Capital Ltd.,NBFC,ACUITE,Fund based financial facility/instrument,AA,2026-03-19,LOW,2,NO,ACUITE | IND-RA | Infomerics,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Capri Global Housing Finance Ltd.,HFC,ACUITE,Fund based financial facility/instrument,AA,2026-03-19,LOW,2,NO,ACUITE | Infomerics,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Chaitanya India Fin Credit Pvt. Ltd.,NBFC,CARE,Term loans,AA,2026-04-23,LOW,2,NO,CARE | CRISIL | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Citicorp Finance (India) Ltd.,NBFC,ICRA,Debentures / Bonds / notes / bills,PP-MLD AAA,2026-03-23,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Clix Capital Services Pvt. Ltd.,NBFC,CARE,Debentures / Bonds / notes / bills,PP-MLD A+,2026-01-20,LOW,2,NO,ACUITE | CARE,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
D S P Finance Pvt. Ltd.,NBFC,ICRA,Non-government debt,AA/A1+,2026-01-23,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Dhara Motor Finance Ltd.,NBFC,CRISIL,Term loans,BBB-,2026-02-02,LOW,2,NO,CRISIL | Infomerics,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Dugar Finance & Invsts. Ltd.,NBFC,ACUITE,Long term Loans,BBB,2026-04-06,LOW,2,NO,ACUITE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Dvara Kshetriya Gramin Financial Services Pvt. Ltd.,NBFC,CARE,Non-government debt,BBB/A3+,2026-03-30,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Easy Home Finance Ltd.,HFC,IND-RA,Non-government debt,A-,2026-03-06,LOW,2,NO,ACUITE | IND-RA,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Edel Finance Co. Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD A+,2026-03-12,LOW,2,NO,CARE | CRISIL | ICRA | Infomerics,4,Multi-agency (4 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Edelweiss Financial Services Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,A+,2026-01-09,LOW,2,NO,BRICKWORK | CRISIL | Infomerics,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Fedbank Financial Services Ltd.,NBFC,CARE,Non-government debt,AA+/A1+,2026-04-10,LOW,2,NO,CARE | IND-RA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Finkurve Financial Services Ltd.,NBFC,CARE,Term loans,BBB+,2026-03-30,LOW,2,NO,CARE | CRISIL | Infomerics,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Five-Star Business Finance Ltd.,NBFC,IND-RA,Term loans,AA-,2026-03-27,LOW,2,NO,CARE | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Fusion Finance Ltd.,NBFC,CARE,Term loans,A,2026-04-07,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Geojit Financial Services Ltd.,NBFC,CRISIL,Bank Guarantee,A 1,2026-03-06,LOW,2,NO,CARE | CRISIL | ICRA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Godrej Finance Ltd.,NBFC,CARE,Fund based financial facility/instrument,AA+,2026-04-08,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Godrej Housing Finance Ltd.,HFC,CRISIL,Long term Loans,AA+,2026-03-31,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Grihum Housing Finance Ltd.,HFC,CARE,Term loans,AA-,2026-02-16,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
H D B Financial Services Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,AAA,2026-04-14,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Hero Fincorp Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,AA,2026-04-20,LOW,2,NO,CARE | CRISIL | ICRA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Hero Housing Finance Ltd.,HFC,ICRA,Non-government debt,AA+/A1+,2026-03-27,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Hinduja Leyland Finance Ltd.,NBFC,CARE,Debentures / Bonds / notes / bills,PP-MLD AA+,2026-04-01,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Hiranandani Financial Services Pvt. Ltd.,NBFC,CARE,Long term Loans,A+,2026-04-27,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Hiveloop Capital Pvt. Ltd.,NBFC,ACUITE,Long term Loans,BBB,2026-01-23,LOW,2,NO,ACUITE | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Home First Finance Co. India Ltd.,NBFC,CARE,Term loans,AA,2026-02-05,LOW,2,NO,CARE | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I C I C I Home Finance Co. Ltd.,HFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AAA,2026-03-20,LOW,2,NO,CARE | CRISIL | ICRA,3,Multi-agency (3 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
I C L Fincorp Ltd.,NBFC,ACUITE,Debentures / Bonds / notes / bills,BBB-,2026-03-09,LOW,2,NO,ACUITE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I I F L Finance Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,AA-,2026-03-24,LOW,2,NO,CRISIL | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I I F L Home Finance Ltd.,HFC,ICRA,Debentures / Bonds / notes / bills,PP-MLD AA,2026-02-11,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
I K F Finance Ltd.,NBFC,IND-RA,Term loans,AA-,2026-03-26,LOW,2,NO,CARE | IND-RA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
I L & F S Financial Services Ltd.,NBFC,CARE,Long term Loans,D,2025-12-26,LOW,2,NO,CARE | IND-RA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Incred Financial Services Ltd.,NBFC,CRISIL,Debentures / Bonds / notes / bills,PP-MLD AA-,2026-03-06,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
India Factoring & Finance Solutions Pvt. Ltd.,NBFC,IND-RA,Term loans,BBB+,2026-01-29,LOW,2,NO,ACUITE | CARE | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
India Infrastructure Finance Co. Ltd.,NBFC,ICRA,Debentures / Bonds / notes / bills,AAA,2026-01-27,LOW,2,NO,BRICKWORK | CARE | CRISIL | ICRA | IND-RA,5,Multi-agency (5 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
India Shelter Finance Corpn. Ltd.,NBFC,IND-RA,Term loans,AA-,2026-03-09,LOW,2,NO,CARE | ICRA | IND-RA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Indian Railway Finance Corpn. Ltd.,NBFC,CARE,Long term Loans,AAA,2026-04-14,LOW,2,NO,CARE | CRISIL | ICRA,3,Multi-agency (3 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Indifi Capital Pvt. Ltd.,NBFC,IND-RA,Term loans,BBB,2025-12-16,LOW,2,NO,CRISIL | IND-RA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Indostar Capital Finance Ltd.,NBFC,CARE,Fund based financial facility/instrument,AA-,2026-04-08,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Infinity Fincorp Solutions Pvt. Ltd.,NBFC,CRISIL,Term loans,A+,2026-04-06,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
J M Financial Asset Reconstruction Co. Ltd.,NBFC,CRISIL,Long term Loans,AA-,2026-04-02,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
J M Financial Credit Solutions Ltd.,NBFC,ICRA,Fund based financial facility/instrument,AA,2026-02-06,LOW,2,NO,ICRA | IND-RA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
J M Financial Home Loans Ltd.,NBFC,CRISIL,Long term Loans,AA,2026-04-02,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
J M Financial Ltd.,NBFC,CRISIL,Long term Loans,AA,2026-04-02,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
J M Financial Products Ltd.,NBFC,CRISIL,Long term Loans,AA,2026-04-02,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Jio Credit Ltd.,NBFC,CARE,Non-government debt,AAA/A1+,2026-01-08,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
John Deere Financial India Pvt. Ltd.,NBFC,CRISIL,Long term Loans,AAA,2025-12-31,LOW,2,NO,CRISIL | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kisetsu Saison Finance (India) Pvt. Ltd.,NBFC,CRISIL,Long term Loans,AAA,2026-03-31,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Kogta Financial (India) Ltd.,NBFC,CARE,Term loans,A+,2026-04-27,LOW,2,NO,CARE | ICRA,2,Multi-agency (2 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
L I C Housing Finance Ltd.,HFC,CRISIL,Debentures / Bonds / notes / bills,AAA,2026-03-13,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,NHB-regulated HFCs need rated NCD/debenture for market borrowing — ACER processes faster than ICRA/CARE
Lendingkart Finance Ltd.,NBFC,IND-RA,Debentures / Bonds / notes / bills,PP-MLD BBB+,2026-03-12,LOW,2,NO,CRISIL | ICRA | IND-RA | Infomerics,4,Multi-agency (4 raters) — open to new entrant,RBI requires SEBI-registered CRA rating for NBFC borrowings from banks/markets — ACER can issue this faster at competitive cost
Light Microfinance Pvt. Ltd.,MFI,CRISIL,Long term Loans,BBB+,2026-03-31,LOW,2,NO,CARE | CRISIL,2,Multi-agency (2 raters) — open to new entrant,"MFI lenders (SIDBI, NHB, NABARD) require accredited CRA rating — ACER is SEBI registered and can rate your instruments"
