Company Name,Agency,Instrument Type,Rating,Rating Date,Amount_Cr,Sector,NCD_Flag,ACER Pitch Angle
Marudhara Polypack Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,6.25,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Konvertor Packaging Solutions Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,5.62,Paper/Packaging,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Trans Valves (India) Pvt. Ltd.,BRICKWORK,Fund-Based,C,2025-12-10,5.1,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Global Technocrats Ltd.,CRISIL,Term Loan,B+,2025-12-10,5.0,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Gujarat Dyestuff Inds. Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,5.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kamal & Associates Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-10,5.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kamlesh Greencrete Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,5.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pacific Harish Inds. Ltd.,CRISIL,Term Loan,B+,2025-12-10,5.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kohinoor Grain Processing Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-10,4.35,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
E V A Exotica Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-10,4.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chandras' Chemical Enterprises Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,3.0,Chemicals/Pharma,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P S T S Logistics Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-10,3.0,Logistics,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K P Saha Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,2.69,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Joyguru Cold Storage Pvt. Ltd.,CRISIL,Term Loan,B-,2025-12-10,2.2,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jagannath Polypacks Ltd.,CRISIL,Term Loan,C,2025-12-10,2.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Hitrac Manpower Services Pvt. Ltd.,CRISIL,Fund-Based,B+,2025-12-10,0.9,Energy,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Emmtex Synthetics Ltd.,CRISIL,Letter of Credit,A 4,2025-12-10,0.5,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaywant Sugars Limited,Infomerics,Long Term Fund Based Bank Facilities,IVR BB- (INC) (Downgraded),2025-12-11,524.36,Agro/Food,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Creative Minerals India Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC) (Downgraded),2025-12-11,88.0,Mining,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Srijan Realty Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,68.6,Construction,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bluecraft Agro Pvt. Ltd.,BRICKWORK,Term Loan,BB,2025-12-11,67.08,Agro/Food,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kunal Spaces Pvt. Ltd.,CARE,Term Loan,B-,2025-12-11,59.61,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K N K Projects Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,38.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G S R Ventures Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,35.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Feather Spintex Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-11,29.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
O S L Exclusive Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-11,22.3,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jeeban Suraksha Hospital Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,20.0,Healthcare,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ravi Dyeware Co. Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,20.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Lasa Laboratory Pvt. Ltd. [Merged],CRISIL,Term Loan,B,2025-12-11,19.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Anant Overseas Pvt. Ltd.,CARE,Fund-Based,B-,2025-12-11,19.0,Other,Standard,Your Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Niladree Build-Tech Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,15.2,Construction,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aranthaangi Chemical Products Ltd.,CRISIL,Term Loan,B,2025-12-11,15.0,Chemicals/Pharma,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Agarwal T M T Inds. Pvt. Ltd.,CARE,Term Loan,B-,2025-12-11,13.14,Other,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Aesthetic Stampings & Laminations Ltd.,CARE,Bank Guarantee,A 4,2025-12-11,13.0,Other,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Amitex Agro Product Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,13.0,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dwarakamai Constructions Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,12.0,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Healthcaps India Ltd.,CRISIL,Term Loan,B+,2025-12-11,10.4,Healthcare,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Nova Textiles Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-11,10.0,Textiles,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
A To Z Developers Ltd.,CRISIL,Term Loan,B+,2025-12-11,10.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Alpha Carbonless Paper Mfg. Co. Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-11,10.0,Paper/Packaging,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M U N Agro Inds. Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-11,9.81,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Blackstone Logistics Pvt. Ltd.,CRISIL,Term Loan,B-,2025-12-11,8.99,Logistics,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Flyjac Logistics Pvt. Ltd.,ICRA,NCD/Bond,A 1+,2025-12-11,8.5,Logistics,NCD — SEBI License Required,Your NCD/Bond at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jaypee Projects Ltd.,CRISIL,Term Loan,B+,2025-12-11,8.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K B A Agrotech Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-11,8.0,Agro/Food,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Multani Pharmaceuticals Ltd.,CRISIL,Term Loan,B,2025-12-11,6.9,Chemicals/Pharma,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chakkra Coal India Pvt. Ltd.,CARE,Letter of Credit,A 4,2025-12-11,6.0,Mining,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Navdurga Pulp & Paper Mills India Pvt. Ltd.,CARE,Term Loan,B-,2025-12-11,5.7,Agro/Food,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Biomedicon Care Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,5.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J P Rice & Foods Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-11,5.0,Agro/Food,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jayaraj Fortune Packaging Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-11,5.0,Paper/Packaging,Standard,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sri Nath Ji Ispat Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,4.82,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Naxalbari Flour & Rice Mill Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-11,3.79,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J D C India Ltd.,CRISIL,Term Loan,B,2025-12-11,3.3,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Nidhi Auto Pvt. Ltd.,CARE,Term Loan,B-,2025-12-11,3.25,Manufacturing,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Cordoba Engineering Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-11,3.0,Manufacturing,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Evergreen Publications (India) Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,3.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Polybond Insulation Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-11,3.0,Other,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shri Ram Rubtech Pvt. Ltd.,CARE,NCD/Bond,B-/A4,2025-12-11,3.0,IT/Technology,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Advance Metal Powder Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,3.0,Steel & Metals,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Abhiraj Engicon Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-11,2.5,Other,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sivaani Agribusiness Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-11,2.08,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Deb Paints Pvt. Ltd.,CRISIL,Term Loan,B,2025-12-11,1.8,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Unimarck Pharma (India) Ltd.,CRISIL,Term Loan,B+,2025-12-11,1.0,Chemicals/Pharma,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kisan Oleochem & Derivatives Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-11,0.5,Chemicals/Pharma,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
R N Knitfab Pvt. Ltd.,CRISIL,Letter of Credit,A 4,2025-12-11,0.5,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mahajan Fabrics Pvt. Ltd.,CARE,Term Loan,B-,2025-12-11,0.46,Textiles,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vikas Cotton Inds. Pvt. Ltd.,CARE,Term Loan,B-,2025-12-11,0.04,Agro/Food,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Schwing Stetter (India) Pvt. Ltd.,CRISIL,Fund-Based,BB+,2025-12-12,1555.0,Other,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Atlas Constructions Pvt. Ltd.,CRISIL,NCD/Bond,BBB/A3+,2025-12-12,363.0,Construction,NCD — SEBI License Required,Your NCD/Bond at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mash Bio-Fuels Private Limited,Infomerics,Long Term Bank Facilities,IVR BB+ (INC)(Downgraded),2025-12-12,307.43,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Maruti Educational Trust,Infomerics,Long Term Bank Facilities,IVR BB (INC)(Downgraded),2025-12-12,175.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Agroh Kodinar Veraval Highways Private Limited,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Reaffirmed),2025-12-12,100.0,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Ghanaram Infraengineers Pvt. Ltd.,CRISIL,Bank Guarantee,A 4,2025-12-12,60.0,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rameswar Udyog Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,34.0,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Bargarh Bio Fuels Development Foundation,Infomerics,Long Term Bank Facilities,IVR B+ (INC)(Downgraded),2025-12-12,30.35,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
B L International Pvt. Ltd.,CRISIL,Fund-Based,B,2025-12-12,22.0,Other,Standard,Your Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N G Fertilizers & Chemicals Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,20.0,Chemicals/Pharma,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Teesta Agro Inds. Ltd.,CARE,Letter of Credit,A 4+,2025-12-12,17.5,Agro/Food,Standard,Your Letter of Credit at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chrysalis Trading Private Limited,Infomerics,Long Term Facility - Fund Based - Cash Credit,IVR D (INC),2025-12-12,15.0,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Axel Polymers Ltd.,CRISIL,Letter of Credit,A 4,2025-12-12,5.0,Chemicals/Pharma,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mediplus (India) Ltd.,CRISIL,Letter of Credit,A 4,2025-12-12,5.0,Other,Standard,Your Letter of Credit at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Alphamed Formulations Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-12,4.5,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Active Char Products Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,1.5,Other,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chatterjee Cleaning Arts Services Ltd.,CRISIL,Term Loan,B+,2025-12-12,1.0,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sidhi Vinayak Metcom Ltd.,CARE,Bank Guarantee,A 4,2025-12-12,1.0,Other,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
T B E A Energy (India) Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-15,959.34,Energy,Standard,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
M R K R Constructions & Inds. Pvt. Ltd.,IND-RA,Fund-Based,A 3,2025-12-15,200.0,Construction,Standard,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sirmour Small Hydro Power Pvt. Ltd.,CARE,Term Loan,BB+,2025-12-15,160.0,Energy,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
GRN Constructions Private Limited,Infomerics,Short Term Bank Facilities,IVR A4+ (INC)(Downgraded),2025-12-15,120.0,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Swarnaa Techno Constructions Pvt. Ltd.,BRICKWORK,Non-Fund-Based,A 4,2025-12-15,66.0,Construction,Standard,Your Non-Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
3B Films Ltd.,ACUITE,Term Loan,B-,2025-12-15,27.6,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
NK Construction Group,Infomerics,Long Term Facilities,IVR B+ (INC) (Downgraded),2025-12-15,24.53,Construction,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Las Cargo Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-15,16.0,Logistics,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sunder Marketing Associates Pvt. Ltd.,BRICKWORK,Letter of Credit,A 4,2025-12-15,6.0,Other,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shri Krupa Services Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-15,4.0,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Havukal Tea & Produce Co. Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-15,3.48,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Gobind Industries Pvt. Ltd.,BRICKWORK,Term Loan,C,2025-12-15,1.09,Other,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Paul Strips & Tubes Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-15,1.0,Other,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shri Rathna Akshaya Estates Private Limited,Infomerics,Long Term Facilities,IVR BBB (INC)(Downgraded),2025-12-16,531.08,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Caliber Mercantile Private Limited,Infomerics,Long Term Facilities,IVR BB (INC) (Downgraded),2025-12-16,321.41,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Siddhartha Engineering Ltd.,CARE,NCD/Bond,C/A4,2025-12-16,95.75,Manufacturing,NCD — SEBI License Required,Your NCD/Bond at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N P Infraprojects India Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2025-12-16,37.0,Construction,Standard,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tehri Pulp & Paper Ltd.,BRICKWORK,Letter of Credit,A 4+,2025-12-16,25.0,Paper/Packaging,Standard,Your Letter of Credit at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Navkar Lifesciences,Infomerics,Long Term Bank Facilities,IVR C+ (INC) (Downgraded),2025-12-16,22.45,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Sree Kumar Agro Oils Pvt. Ltd.,BRICKWORK,Fund-Based,B,2025-12-16,18.35,Agro/Food,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kailash Kraft Paper LLP,Infomerics,Proposed Long Term Bank Facility,IVR C (INC) (Downgraded),2025-12-16,11.75,Paper/Packaging,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
Shrishaila Electricals (India) Pvt. Ltd.,CARE,Bank Guarantee,A 4,2025-12-16,11.0,Energy,Standard,Your Bank Guarantee at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ultra Mile,Infomerics,Long Term Bank Facilities (incl. Proposed facility),IVR B (INC)(Downgraded),2025-12-16,10.8,Other,Standard,Your Infomerics INC rating goes critical in Dec 2026. ACER is your best alternative — no competitor has approached you.
S N Dairy Foods Pvt. Ltd.,ACUITE,Term Loan,B-,2025-12-16,6.0,Agro/Food,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Abaj Electronics Pvt. Ltd.,ACUITE,Letter of Credit,A 4,2025-12-16,6.0,Other,Standard,Your Letter of Credit at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Morries Energy Ltd.,BRICKWORK,Term Loan,B+,2025-12-16,4.37,Energy,Standard,Your Term Loan at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Babulal Becharbhai Zaveri Golds & Diamonds Pvt. Ltd.,CRISIL,Term Loan,BB-,2025-12-16,4.2,Jewellery,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Manglam Infra & Engg. Ltd.,CRISIL,Bank Guarantee,A 4+,2025-12-16,3.0,Construction,Standard,Your Bank Guarantee at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Siyaram Recycling Inds. Ltd.,BRICKWORK,Fund-Based,B,2025-12-16,2.54,Other,Standard,Your Fund-Based at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Minesh Prints Ltd.,ACUITE,Term Loan,B-,2025-12-16,0.23,Other,Standard,Your Term Loan at ACUITE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P N Gawande Gng. Prsg. & Oil Mill Pvt. Ltd.,CARE,Fund-Based,B-,2025-12-16,0.0,Agro/Food,Standard,Your Fund-Based at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,802.0,Construction,Standard,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
P C Patel Infra Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,135.0,Construction,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Waterfront Constructions Pvt. Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,60.0,Construction,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Satyadeeptha Pharmaceuticals Ltd.,ICRA,Term Loan,BB+,2025-12-17,43.37,Chemicals/Pharma,Standard,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Eurocoustic Products Ltd.,CRISIL,Non-Fund-Based,A 4+,2025-12-17,40.0,Other,Standard,Your Non-Fund-Based at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
B P R Infrastructure Pvt. Ltd.,BRICKWORK,Bank Guarantee,BB-,2025-12-17,35.0,Construction,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Chain-Sys Software Exports Pvt. Ltd.,CRISIL,Term Loan,BB-,2025-12-17,32.0,IT/Technology,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Wadia Techno-Engineering Services Ltd.,BRICKWORK,Bank Guarantee,A 4,2025-12-17,30.0,Manufacturing,Standard,Your Bank Guarantee at BRICKWORK goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
General Petrochemicals Pvt. Ltd.,CARE,Term Loan,BB-,2025-12-17,25.13,Chemicals/Pharma,Standard,Your Term Loan at CARE goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tirumala Seven Hills Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,23.0,Other,Standard,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Ostern Pvt. Ltd.,CRISIL,Term Loan,B+,2025-12-17,17.4,Other,Standard,Your Term Loan at CRISIL goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
