Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Amt_num,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle,Amount_Display
Tirumala Seven Hills Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-17,HOT,Dec 2026,2026-12-17,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Tirumala Seven Hills Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Shree Shyam Sponge & Power Ltd.,ICRA,Short-Term Loan,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,0.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Mehta Brothers Gems Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,HOT,Dec 2026,2026-12-22,0.0,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
Sahastraa Exports Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,—
A S Moloobhoy Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-01-23,LOW/MEDIUM,Jan 2027,2027-01-23,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-01-23 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Prasuna Vamsikrishna Spg. Mills Pvt. Ltd.,ICRA,Short-Term Loan,A 4+,2026-01-29,LOW/MEDIUM,Jan 2027,2027-01-29,0.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-01-29 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Mittal Udyog Indore Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-02-05,LOW/MEDIUM,Feb 2027,2027-02-05,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-02-05 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Secure Industries Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-02-27,LOW/MEDIUM,Feb 2027,2027-02-27,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-02-27 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Sree Sudheer Ceramics Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-02-27,LOW/MEDIUM,Feb 2027,2027-02-27,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-02-27 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Feb 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Euro Pratik Ispat Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-03-05,LOW/MEDIUM,Mar 2027,2027-03-05,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-05 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Ami Riddhi Chem Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2026-03-19,LOW/MEDIUM,Mar 2027,2027-03-19,0.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-19 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
Nandan Petrochem Ltd.,ICRA,Term Loan,BB+,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,0.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,—
I H B Ltd.,IND-RA,Term Loan,A+,2026-03-31,LOW/MEDIUM,Mar 2027,2027-03-31,6725.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-31 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹6725.0 Cr
Jaymala Infrastructure Pvt. Ltd.,IND-RA,Term Loan,BBB-,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,1986.53,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹1986.5 Cr
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,HOT,Dec 2026,2026-12-17,802.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹802.0 Cr
Electronics Corpn. Of Tamil Nadu Ltd.,IND-RA,Term Loan,A,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,520.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹520.0 Cr
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,HOT,Dec 2026,2026-12-03,409.55,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹409.6 Cr
H E S Infra Ltd.,IND-RA,Fund-Based,A 4+,2025-12-17,HOT,Dec 2026,2026-12-17,289.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹289.0 Cr
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,HOT,Dec 2026,2026-12-09,280.54,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹280.5 Cr
F Robin Power Solutions Pvt. Ltd.,IND-RA,Term Loan,BB+,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,235.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹235.0 Cr
M R K R Constructions & Inds. Pvt. Ltd.,IND-RA,Fund-Based,A 3,2025-12-15,HOT,Dec 2026,2026-12-15,200.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-15 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹200.0 Cr
Sky Spintex Pvt. Ltd.,IND-RA,Term Loan,BBB-,2025-12-08,HOT,Dec 2026,2026-12-08,146.98,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹147.0 Cr
Radiant Textiles Pvt. Ltd.,IND-RA,NCD/Bond,BB/A4+,2025-12-08,HOT,Dec 2026,2026-12-08,121.0,Textiles,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹121.0 Cr
Lulu India Shopping Mall Pvt. Ltd.,IND-RA,NCD/Bond,BBB/A3+,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,120.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹120.0 Cr
Vijai Electricals Ltd.,IND-RA,Term Loan,B+,2025-12-09,HOT,Dec 2026,2026-12-09,113.38,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹113.4 Cr
Dembla Valves Ltd.,IND-RA,Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,100.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹100.0 Cr
Dalkan Ship Breaking Ltd.,IND-RA,Fund-Based,A 4+,2025-12-09,HOT,Dec 2026,2026-12-09,95.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹95.0 Cr
Jodhani Papers Pvt. Ltd.,IND-RA,Term Loan,BBB,2026-03-11,LOW/MEDIUM,Mar 2027,2027-03-11,89.46,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2027-03-11 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹89.5 Cr
Ashok Textile Mills Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,89.21,Agro/Food,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹89.2 Cr
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,HOT,Dec 2026,2026-12-03,80.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹80.0 Cr
Goa Sponge & Power Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,80.0,Energy,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹80.0 Cr
Sri Andal Paper Mills Pvt. Ltd.,IND-RA,Term Loan,BB,2026-03-30,LOW/MEDIUM,Mar 2027,2027-03-30,80.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2027-03-30 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹80.0 Cr
Rabwin Industries Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-08,HOT,Dec 2026,2026-12-08,76.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹76.6 Cr
Sambandam Spinning Mills Ltd.,IND-RA,Term Loan,BB,2025-12-19,HOT,Dec 2026,2026-12-19,75.55,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹75.5 Cr
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,HOT,Dec 2026,2026-12-01,74.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹74.5 Cr
Clifton Export Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,69.26,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹69.3 Cr
R S Development & Constructions India Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,67.89,Construction,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹67.9 Cr
Superior Films Pvt. Ltd.,IND-RA,NCD/Bond,BB+/A4+,2025-12-19,HOT,Dec 2026,2026-12-19,64.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹64.5 Cr
Omax Cotspin Pvt. Ltd.,IND-RA,Term Loan,BBB,2026-03-09,LOW/MEDIUM,Mar 2027,2027-03-09,53.01,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹53.0 Cr
G S R Ventures Pvt. Ltd.,IND-RA,Fund-Based,A 4,2026-01-16,LOW/MEDIUM,Jan 2027,2027-01-16,50.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-01-16 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹50.0 Cr
Asclepius Hospitals & Health Care Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2026-03-27,LOW/MEDIUM,Mar 2027,2027-03-27,49.81,Healthcare,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹49.8 Cr
Kairali Steels & Alloys Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,47.38,Steel & Metals,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹47.4 Cr
Itaan Pharma Pvt. Ltd.,IND-RA,Term Loan,B,2026-03-20,LOW/MEDIUM,Mar 2027,2027-03-20,41.54,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2027-03-20 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹41.5 Cr
Kilavikulam Rajalakshmi Solar Power Developer Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-29,HOT,Dec 2026,2026-12-29,38.5,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹38.5 Cr
R K S Steel Inds. Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,38.02,Steel & Metals,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹38.0 Cr
Vipul Organics Ltd.,IND-RA,NCD/Bond,B/A4,2026-03-25,LOW/MEDIUM,Mar 2027,2027-03-25,37.15,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-25 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹37.1 Cr
N P Infraprojects India Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2025-12-16,HOT,Dec 2026,2026-12-16,37.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹37.0 Cr
Leben Life Sciences Pvt. Ltd.,IND-RA,NCD/Bond,B-,2025-12-19,HOT,Dec 2026,2026-12-19,35.63,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹35.6 Cr
Vertigo Impex Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,32.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹32.5 Cr
Approcool Aircon Pvt. Ltd.,IND-RA,Term Loan,B,2025-12-19,HOT,Dec 2026,2026-12-19,30.15,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹30.1 Cr
K P Manish Global Ingredients Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2026-01-21,LOW/MEDIUM,Jan 2027,2027-01-21,30.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-01-21 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹30.0 Cr
Jai Ganesh Ispat & Ferro Alloys Pvt. Ltd.,IND-RA,Term Loan,B-,2025-12-19,HOT,Dec 2026,2026-12-19,27.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹27.0 Cr
Camex Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,24.5,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹24.5 Cr
Approcool Aircon Pvt. Ltd.,IND-RA,Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,24.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹24.5 Cr
N N Saha & Sons Agro Pvt. Ltd.,IND-RA,Term Loan,B-,2025-12-19,HOT,Dec 2026,2026-12-19,24.0,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹24.0 Cr
Gansons Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,23.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹23.0 Cr
Shrikishan & Co. Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,23.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹23.0 Cr
Sunrise Timply Co. Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,23.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹23.0 Cr
Rydak Syndicate Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,22.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹22.0 Cr
S S V Fab Inds. Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2026-03-24,LOW/MEDIUM,Mar 2027,2027-03-24,21.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2027-03-24 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹21.0 Cr
Indicon Construction Pvt. Ltd.,IND-RA,Fund-Based,A 4,2026-01-09,LOW/MEDIUM,Jan 2027,2027-01-09,20.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2027-01-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹20.0 Cr
Celon Laboratories Pvt. Ltd.,IND-RA,Term Loan,BB-,2026-03-27,LOW/MEDIUM,Mar 2027,2027-03-27,20.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹20.0 Cr
Technoplast Packaging Pvt. Ltd.,IND-RA,Fund-Based,A 3+,2026-03-27,LOW/MEDIUM,Mar 2027,2027-03-27,19.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2027-03-27 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹19.0 Cr
K7 Computing Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,18.0,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹18.0 Cr
Srinivas Infrastructure Pvt. Ltd.,IND-RA,NCD/Bond,B/A4,2025-12-19,HOT,Dec 2026,2026-12-19,17.0,Construction,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹17.0 Cr
Abhiraj Engicon Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,16.39,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹16.4 Cr
Jal Precision Products Ltd.,IND-RA,Term Loan,BB+,2025-12-08,HOT,Dec 2026,2026-12-08,15.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹15.5 Cr
Vaibhav Edibles Pvt. Ltd.,IND-RA,Term Loan,B-,2025-12-19,HOT,Dec 2026,2026-12-19,14.04,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹14.0 Cr
Kilavikulam Rajalakshmi Solar Power Developer Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-29,HOT,Dec 2026,2026-12-29,12.71,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-29 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹12.7 Cr
Mahakali Ispat Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,11.3,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹11.3 Cr
Kuna Impex Pvt. Ltd.,IND-RA,NCD/Bond,B-/A4,2025-12-19,HOT,Dec 2026,2026-12-19,11.25,Other,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹11.2 Cr
Caravel Logistics Pvt. Ltd.,IND-RA,NCD/Bond,C/A4,2025-12-19,HOT,Dec 2026,2026-12-19,11.1,Logistics,NCD — SEBI License Required,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your NCD/Bond at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹11.1 Cr
Adwaith Lakshmi Inds. Ltd.,IND-RA,Fund-Based,A 4,2026-01-09,LOW/MEDIUM,Jan 2027,2027-01-09,10.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2027-01-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Jan 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.0 Cr
Score Information Technologies Ltd. (2000),IND-RA,Fund-Based,A 4+,2026-03-10,LOW/MEDIUM,Mar 2027,2027-03-10,10.0,IT/Technology,Standard,D365,INC rating hits ULTRA HOT on 2027-03-10 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Mar 2027. Start ACER process in Sep 2026 — before the Q1 rush.,₹10.0 Cr
Sambandam Spinning Mills Ltd.,IND-RA,Term Loan,A 4+,2025-12-19,HOT,Dec 2026,2026-12-19,9.25,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.,₹9.2 Cr
