Company Name,Agency,Instrument Type,Rating,Rating Date,Current Urgency,Q1_Month,Escalation_Date,Tier,Priority_Score,Agency_Count,Calling_Sequence,Amount_Cr,Sector,NCD_Flag,Source,Why Target,ACER Pitch Angle
Marudhara Polypack Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,6.25,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K P Saha Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.69,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
K P Saha Pvt. Ltd.,ICRA,Non-Fund-Based,B+,2025-12-10,HOT,Dec 2026,2026-12-10,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.13,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-10 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jayaraj Fortune Packaging Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,5.0,Paper/Packaging,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sivaani Agribusiness Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-11,HOT,Dec 2026,2026-12-11,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.08,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-11 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rameswar Udyog Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,34.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N G Fertilizers & Chemicals Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,20.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Active Char Products Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rameswar Udyog Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Active Char Products Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rameswar Udyog Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rameswar Udyog Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-12,HOT,Dec 2026,2026-12-12,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-12 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Satyadeeptha Pharmaceuticals Ltd.,ICRA,Term Loan,BB+,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,43.37,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tirumala Seven Hills Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,23.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Satyadeeptha Pharmaceuticals Ltd.,ICRA,Non-Fund-Based,A 4+,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,10.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vishva Vishal Refractory Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,4.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pavan Cotton Products Pvt. Ltd.,ICRA,Term Loan,B,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,3.64,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vishva Vishal Refractory Ltd.,ICRA,Term Loan,BB,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Samkit Diamond Export Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.98,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Pavan Cotton Products Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.24,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tirumala Seven Hills Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Tirumala Seven Hills Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-17,HOT,Dec 2026,2026-12-17,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-17 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dugar Polymers Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-18,HOT,Dec 2026,2026-12-18,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,5.5,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dugar Polymers Ltd.,ICRA,Term Loan,B+,2025-12-18,HOT,Dec 2026,2026-12-18,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.59,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-18 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Unique Multi Films Virudhunagar Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
V V C Motors Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,6.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Decor Paper Mills Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.13,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shreenathji Cotgin Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.1,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shree Shyam Sponge & Power Ltd.,ICRA,Short-Term Loan,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Uni-Tech Automation Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,12.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Memon Health Care Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,4.07,Healthcare,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Mehta Brothers Gems Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-22,HOT,Dec 2026,2026-12-22,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Jewellery,Standard,D365,INC rating hits ULTRA HOT on 2026-12-22 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J G Hosiery Pvt. Ltd.,ICRA,Fund-Based,A,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,75.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
J G Hosiery Pvt. Ltd.,ICRA,Term Loan,A,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,36.73,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Yash Exports (India) Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,19.37,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Shreegopal Gobind Agro Tech Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,12.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Yash Exports (India) Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-23,HOT,Dec 2026,2026-12-23,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,4.07,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-23 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Metco Roof Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,30.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Metco Roof Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,26.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C D R Projects Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,18.75,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Winner Nippon Leatherette Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.75,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Winner Nippon Leatherette Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.45,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C D R Projects Pvt. Ltd.,ICRA,Term Loan,B+,2025-12-24,HOT,Dec 2026,2026-12-24,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.21,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-24 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sahastraa Exports Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,15.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sharpline Automation Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,6.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
S M L P G Cylinders Pvt. Ltd.,ICRA,Non-Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Non-Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sharpline Automation Pvt. Ltd.,ICRA,Term Loan,B-,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.29,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sharpline Automation Pvt. Ltd.,ICRA,Fund-Based,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.0,Manufacturing,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Fund-Based at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sahastraa Exports Pvt. Ltd.,ICRA,Short-Term Loan,A 4,2025-12-26,HOT,Dec 2026,2026-12-26,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-26 — prime Q1 2027 renewal target,Your Short-Term Loan at ICRA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Kapeeshwar Sugars & Chemicals Ltd.,IND-RA,Term Loan,BB,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,74.5,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Letter of Credit,A 4,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,5.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Letter of Credit at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Term Loan,B+,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.38,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
G D Dyestuff Inds. Ltd.,IND-RA,Bank Guarantee,A 4,2025-12-01,HOT,Dec 2026,2026-12-01,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,0.3,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-01 — prime Q1 2027 renewal target,Your Bank Guarantee at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
C P L Pharmaceuticals Pvt. Ltd.,IND-RA,Term Loan,BBB+,2025-12-03,HOT,Dec 2026,2026-12-03,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,80.0,Chemicals/Pharma,Standard,D365,INC rating hits ULTRA HOT on 2026-12-03 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rabwin Industries Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,76.6,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jal Precision Products Ltd.,IND-RA,Term Loan,BB+,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,15.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Rabwin Industries Pvt. Ltd.,IND-RA,Term Loan,BB,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,8.4,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sky Spintex Pvt. Ltd.,IND-RA,Fund-Based,A 3,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Laxmi Hydraulics Pvt. Ltd.,IND-RA,Fund-Based,A 2+,2025-12-08,HOT,Dec 2026,2026-12-08,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,2.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-08 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dalkan Ship Breaking Ltd.,IND-RA,Fund-Based,A 4+,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,95.0,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Vijai Electricals Ltd.,IND-RA,Fund-Based,A 4,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,5.2,Energy,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Monsoon Bounty Foods Mfg. Pvt. Ltd.,IND-RA,Term Loan,BB-,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,3.64,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Dalkan Ship Breaking Ltd.,IND-RA,Term Loan,BB-,2025-12-09,HOT,Dec 2026,2026-12-09,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,1.09,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-09 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
N P Infraprojects India Pvt. Ltd.,IND-RA,Fund-Based,A 4+,2025-12-16,HOT,Dec 2026,2026-12-16,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,37.0,Construction,Standard,D365,INC rating hits ULTRA HOT on 2026-12-16 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Sambandam Spinning Mills Ltd.,IND-RA,Term Loan,BB,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,75.55,Agro/Food,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Approcool Aircon Pvt. Ltd.,IND-RA,Term Loan,B,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,30.15,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Jai Ganesh Ispat & Ferro Alloys Pvt. Ltd.,IND-RA,Term Loan,B-,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,27.0,Steel & Metals,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Term Loan at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
Approcool Aircon Pvt. Ltd.,IND-RA,Fund-Based,A 4,2025-12-19,HOT,Dec 2026,2026-12-19,Tier 5 — HOT,5,1,Sep–Oct 2026 — Call 3 months ahead,24.5,Other,Standard,D365,INC rating hits ULTRA HOT on 2026-12-19 — prime Q1 2027 renewal target,Your Fund-Based at IND-RA goes critical in Dec 2026. Start ACER process in Sep 2026 — before the Q1 rush.
